step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1478,0.7109375,,0.073,0.117,25.822,0.147,0.59,1478.1,1439.7,20.824
2,2855,0.6777344,,0.044,0.087,32.904,0.115,0.597,1377.1,1351.8,23.136
3,4226,0.7558594,,0.017,0.057,22.827,0.071,0.454,1371.5,1345.7,23.392
4,5609,0.8066406,,0.017,0.075,26.282,0.076,0.453,1382.4,1356.8,23.26
5,6984,0.78125,,0.018,0.084,30.967,0.09,0.498,1374.7,1349.3,22.935
6,8291,0.859375,,0.013,0.069,20.41,0.074,0.361,1307.1,1281.4,22.98
7,9622,0.8203125,,0.034,0.074,27.103,0.096,0.48,1331.5,1305.3,23.969
8,11002,0.8339844,,0.0079,0.058,23.958,0.064,0.416,1380.2,1354.2,23.541
9,12312,0.828125,,0.016,0.064,23.775,0.078,0.421,1309.6,1284.4,22.258
10,13983,0.8515625,0.890625,0.012,0.078,18.673,0.075,0.35,1671.3,1328.5,23.175
11,15390,0.8808594,,0.01,0.064,22.662,0.074,0.345,1406.8,1382.5,23.008
12,16819,0.7832031,,0.017,0.07,27.115,0.073,0.457,1428.6,1404.8,21.353
13,18250,0.8066406,,0.025,0.08,22.107,0.078,0.379,1431.3,1405.6,22.948
14,19660,0.8808594,,0.014,0.045,21.053,0.064,0.348,1410.0,1384.5,22.953
15,21014,0.9003906,,0.016,0.072,18.548,0.081,0.277,1354.2,1331.3,20.515
16,22356,0.8769531,,0.0083,0.09,27.733,0.095,0.345,1341.2,1317.0,21.9
17,23745,0.8769531,,0.021,0.05,23.635,0.065,0.305,1389.0,1364.1,22.872
18,25136,0.8671875,,0.015,0.072,21.159,0.079,0.353,1391.6,1366.0,23.016
19,26527,0.8925781,,0.02,0.062,16.587,0.078,0.29,1390.4,1365.5,22.686
20,28196,0.8984375,0.921875,0.023,0.088,23.632,0.096,0.3,1669.3,1342.4,22.671
21,29518,0.91796875,,0.0081,0.052,13.919,0.061,0.187,1322.3,1298.0,22.913
22,30857,0.9277344,,0.037,0.057,18.819,0.084,0.221,1338.8,1313.6,22.847
23,32225,0.9277344,,0.005,0.037,17.279,0.052,0.193,1367.4,1342.8,22.506
24,33579,0.9160156,,0.0061,0.055,14.339,0.062,0.198,1353.8,1327.9,23.076
25,34927,0.9453125,,0.00015,0.074,13.384,0.071,0.181,1348.6,1326.0,19.644
26,36266,0.91796875,,0.0076,0.068,15.905,0.085,0.21,1338.6,1316.8,19.891
27,37792,0.9394531,,0.0081,0.051,14.595,0.063,0.189,1526.1,1501.6,22.658
28,39271,0.9277344,,0.023,0.057,12.791,0.085,0.108,1478.7,1453.1,23.109
29,40782,0.92578125,,0.013,0.062,14.235,0.069,0.205,1511.4,1486.1,23.158
30,42633,0.90234375,0.984375,0.02,0.067,25.118,0.084,0.279,1851.2,1462.3,23.097
31,43973,0.8964844,,0.013,0.055,20.351,0.062,0.321,1339.8,1318.2,19.774
