timestamp,driver_alive,host_mem_available_kib,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-25T04:42:45+00:00,1,2081633732,0,0,0,0,0,0,0,0
2026-08-25T04:43:45+00:00,1,2035228084,1187,0,1195,0,1195,0,1195,0
2026-08-25T04:44:45+00:00,1,2013235412,10043,8,10099,51,10099,24,9859,38
2026-08-25T04:45:45+00:00,1,2015269048,15695,0,15409,0,15409,0,14929,0
2026-08-25T04:46:46+00:00,1,1990491584,23461,0,23175,1,23632,0,22951,2
2026-08-25T04:47:46+00:00,1,1965738576,31246,1,30345,3,31418,0,30681,0
2026-08-25T04:48:46+00:00,1,1941070216,39014,2,37408,1,38930,1,38450,0
2026-08-25T04:49:46+00:00,1,1920279764,51043,94,45433,51,50663,0,50183,48
2026-08-25T04:50:46+00:00,1,1918150792,51045,98,51177,0,50665,51,50185,0
2026-08-25T04:51:47+00:00,1,1914659360,26379,0,26277,1,33509,3,25423,0
2026-08-25T04:52:47+00:00,1,1890015120,30039,3,28915,0,36093,0,28923,1
2026-08-25T04:53:47+00:00,1,1866793580,37553,77,36167,0,38279,3,35623,0
2026-08-25T04:54:47+00:00,1,1843606240,44505,0,43833,6,44509,0,43389,0
2026-08-25T04:55:47+00:00,1,1820880248,51659,1,50629,0,51407,7,50799,0
2026-08-25T04:56:48+00:00,1,1819843104,52009,0,51694,3,51502,0,51149,83
2026-08-25T04:57:48+00:00,1,1821571240,38655,0,38297,0,31443,2,38907,0
2026-08-25T04:58:48+00:00,1,1821715360,38717,0,38455,3,34099,71,37655,0
2026-08-25T04:59:48+00:00,1,1817238900,41127,1,41043,0,38460,0,40325,0
2026-08-25T05:00:48+00:00,1,1811204752,45536,0,44963,0,44690,0,44419,3
2026-08-25T05:01:49+00:00,1,1804221544,51564,1,51504,2,51480,0,50960,0
2026-08-25T05:02:49+00:00,1,1803578472,52115,0,52312,75,51480,0,52024,92
2026-08-25T05:03:49+00:00,1,1802618424,40019,0,40967,0,41775,0,42453,0
2026-08-25T05:04:49+00:00,1,1803076160,42397,0,42530,83,39416,0,41496,0
2026-08-25T05:05:49+00:00,1,1802761368,44781,0,44914,0,42004,0,44084,0
2026-08-25T05:06:50+00:00,1,1796535008,47172,1,47304,0,44698,3,46266,0
2026-08-25T05:07:50+00:00,1,1789827064,52860,19,52666,0,51440,0,50914,0
2026-08-25T05:08:50+00:00,1,1788325800,52884,36,53272,0,52248,0,53048,78
2026-08-25T05:09:50+00:00,1,1768211228,43816,56,44204,20,43180,35,43980,95
2026-08-25T05:10:50+00:00,1,1777501000,30896,0,30964,0,30004,3,30804,2
2026-08-25T05:11:51+00:00,1,1750446952,33372,0,33642,0,32480,2,33482,1
2026-08-25T05:12:51+00:00,1,1724797096,37750,0,37912,0,37114,0,37752,0
2026-08-25T05:13:51+00:00,1,1701243388,43978,0,44398,2,43342,0,44238,4
2026-08-25T05:14:51+00:00,1,1689618228,52804,50,52872,0,52168,97,52712,0
2026-08-25T05:15:52+00:00,1,1689544544,52804,98,52576,0,52168,95,52712,100
2026-08-25T05:16:52+00:00,1,1691762888,40796,0,40690,1,40402,4,40434,0
2026-08-25T05:17:52+00:00,1,1686343244,43470,0,43364,0,43076,1,43204,0
2026-08-25T05:18:52+00:00,1,1676537360,46654,1,46346,0,46060,0,46388,1
2026-08-25T05:19:52+00:00,1,1652070824,53478,6,53384,98,52424,80,52968,0
2026-08-25T05:20:52+00:00,1,1651764140,53572,88,53384,100,52424,100,52968,0
2026-08-25T05:21:53+00:00,1,1651365144,49118,0,42358,0,41910,0,42240,0
2026-08-25T05:22:53+00:00,1,1650682020,44746,0,45032,0,44584,0,44914,0
2026-08-25T05:23:53+00:00,1,1644103556,47720,0,47916,0,47628,2,47896,3
2026-08-25T05:24:53+00:00,1,1636675048,50704,4,52178,0,51570,1,51602,2
2026-08-25T05:25:53+00:00,1,1633138712,54596,0,54153,88,53192,50,53224,93
2026-08-25T05:26:54+00:00,1,1632904420,54596,1,47614,0,43408,0,42672,0
2026-08-25T05:27:54+00:00,1,1630104668,46042,1,46234,0,46582,0,45846,0
2026-08-25T05:28:54+00:00,1,1621047040,49014,0,49208,67,49354,0,48920,2
2026-08-25T05:29:54+00:00,1,1606179104,51996,3,52608,0,53362,0,53084,0
2026-08-25T05:30:54+00:00,1,1598351824,55621,62,55433,78,54729,0,54249,0
2026-08-25T05:31:54+00:00,1,1587378244,55621,99,43181,0,42477,0,41997,0
2026-08-25T05:32:55+00:00,1,1605356936,43834,0,44158,0,43966,0,42932,0
2026-08-25T05:33:55+00:00,1,1607790760,32873,1,33453,3,32590,1,32470,2
2026-08-25T05:34:55+00:00,1,1603817020,35453,0,36033,0,34966,0,34942,0
2026-08-25T05:35:55+00:00,1,1597444984,40451,1,41585,0,39449,0,40401,0
2026-08-25T05:36:56+00:00,1,1585743240,46675,0,48065,0,45679,0,46881,0
2026-08-25T05:37:56+00:00,1,1582035784,54597,65,55177,0,54409,5,53736,0
2026-08-25T05:38:56+00:00,1,1582096120,51237,0,51911,0,54409,98,48688,0
2026-08-25T05:39:56+00:00,1,1581256788,43177,0,43757,2,41896,0,42156,0
2026-08-25T05:40:56+00:00,1,1575119224,45555,0,46135,2,44272,3,44532,0
2026-08-25T05:41:57+00:00,1,1567778020,47935,0,48611,0,46850,2,47116,0
2026-08-25T05:42:57+00:00,1,1554605988,52975,0,54269,0,50359,0,53185,2
2026-08-25T05:43:57+00:00,1,1552462856,54597,70,55177,80,54409,0,53993,44
2026-08-25T05:44:57+00:00,1,1552179696,53115,0,48346,0,54409,94,46860,0
2026-08-25T05:45:57+00:00,1,1552509264,44929,0,46197,2,43944,3,44406,0
2026-08-25T05:46:58+00:00,1,1552438764,47305,0,48575,0,46522,0,46878,64
2026-08-25T05:47:58+00:00,1,1549399072,49781,15,51157,0,48898,0,49164,0
2026-08-25T05:48:58+00:00,1,1539201428,53789,0,55177,83,51882,0,53993,100
2026-08-25T05:49:58+00:00,1,1536609908,54597,0,55177,0,54409,0,53993,86
2026-08-25T05:50:58+00:00,1,1536495676,50736,0,45091,0,53521,0,44822,0
2026-08-25T05:51:59+00:00,1,1536206492,46645,0,47836,27,46160,45,46634,0
2026-08-25T05:52:59+00:00,1,1536831352,49819,0,50737,1,49332,3,49808,0
2026-08-25T05:53:59+00:00,1,1536409732,52869,40,53715,0,52406,0,52882,2
2026-08-25T05:54:59+00:00,1,1534545660,55365,0,55433,93,54665,0,53993,0
2026-08-25T05:55:59+00:00,1,1490573648,55364,100,43180,0,54664,93,41228,0
2026-08-25T05:57:00+00:00,1,1507339088,31140,0,32486,0,31720,0,30280,2
2026-08-25T05:58:00+00:00,1,1507473344,23535,0,24059,0,22323,2,22971,1
2026-08-25T05:59:00+00:00,1,1501059280,31817,10,31651,0,30075,0,31182,0
2026-08-25T06:00:00+00:00,1,1515805316,39597,0,39407,0,37833,2,39291,0
2026-08-25T06:01:00+00:00,1,1499995372,51527,96,51849,0,51082,68,50411,0
2026-08-25T06:02:00+00:00,1,1499853228,51527,99,51849,0,51082,90,50411,0
2026-08-25T06:03:01+00:00,1,1501249808,35129,0,34993,80,33886,0,33512,0
2026-08-25T06:04:01+00:00,1,1501255560,37601,0,37369,2,36168,0,36090,0
2026-08-25T06:05:01+00:00,1,1501319808,41257,0,40513,84,38344,0,38523,0
2026-08-25T06:06:01+00:00,1,1494776420,47733,0,47243,3,44506,0,45805,2
2026-08-25T06:07:01+00:00,1,1483334476,52295,90,53385,0,52268,0,51179,0
2026-08-25T06:08:02+00:00,1,1483100968,52295,95,53385,97,52619,0,51179,0
2026-08-25T06:09:02+00:00,1,1483378872,40599,3,40881,0,52619,0,38270,0
2026-08-25T06:10:02+00:00,1,1482960956,43273,0,43555,65,40666,0,40648,0
