timestamp,driver_alive,host_mem_available_kib,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct,gpu6_used_mib,gpu6_util_pct,gpu7_used_mib,gpu7_util_pct
2026-08-25T09:58:41+00:00,1,2080432912,0,0,0,0,0,0,0,0
2026-08-25T09:59:41+00:00,1,2012286528,1195,0,1195,0,1187,0,1187,0
2026-08-25T10:00:41+00:00,1,2021204044,8677,0,8677,0,8669,0,1709,0
2026-08-25T10:01:42+00:00,1,2012262452,16610,29,16485,2,16507,3,16005,0
2026-08-25T10:02:42+00:00,1,1987282808,23876,0,24358,13,24358,0,23774,0
2026-08-25T10:03:42+00:00,1,1962402552,31912,3,32036,3,32595,0,31301,0
2026-08-25T10:04:42+00:00,1,1938661296,39425,0,39098,0,39907,0,38618,0
2026-08-25T10:05:42+00:00,1,1921814160,49831,37,50731,0,50219,55,49739,70
2026-08-25T10:06:42+00:00,1,1920149160,49833,88,50733,0,50221,65,49741,0
2026-08-25T10:07:43+00:00,1,1912645752,33867,0,33939,0,20649,0,20371,1
2026-08-25T10:08:43+00:00,1,1887947760,36255,3,36319,0,28447,80,27967,0
2026-08-25T10:09:43+00:00,1,1863919252,40431,0,38713,0,36217,0,35381,0
2026-08-25T10:10:43+00:00,1,1840132696,47429,0,44843,0,43977,0,42689,0
2026-08-25T10:11:43+00:00,1,1820974456,50925,0,51377,0,50673,75,50449,44
2026-08-25T10:12:44+00:00,1,1820395840,50925,0,51377,68,50673,43,50449,0
2026-08-25T10:13:44+00:00,1,1824524792,31545,80,31521,0,33303,0,37477,0
2026-08-25T10:14:44+00:00,1,1822028472,34387,1,33903,3,35887,0,35675,0
2026-08-25T10:15:44+00:00,1,1803857860,40968,0,37924,0,38527,0,38061,0
2026-08-25T10:16:44+00:00,1,1786420872,48216,0,44310,2,45107,1,43261,0
2026-08-25T10:17:44+00:00,1,1769774888,50648,0,51100,99,51292,87,49903,2
2026-08-25T10:18:45+00:00,1,1768811140,46787,0,51100,63,51292,99,51324,77
2026-08-25T10:19:45+00:00,1,1769779692,38288,56,37467,3,38671,0,45672,0
2026-08-25T10:20:45+00:00,1,1762828108,40672,0,39846,0,41143,0,40244,0
2026-08-25T10:21:45+00:00,1,1751460684,43516,0,42136,7,43531,0,42530,0
2026-08-25T10:22:45+00:00,1,1736612288,49996,1,44520,7,46686,0,44716,0
2026-08-25T10:23:46+00:00,1,1721764656,51416,65,51316,2,52060,0,49310,0
2026-08-25T10:24:46+00:00,1,1712024092,39094,0,51868,98,52060,25,52348,0
2026-08-25T10:25:46+00:00,1,1696144460,41632,0,41692,0,42276,0,42152,0
2026-08-25T10:26:46+00:00,1,1714643580,29088,0,29284,0,28964,2,29508,0
2026-08-25T10:27:46+00:00,1,1689121260,31560,2,31756,67,31638,0,31980,0
2026-08-25T10:28:47+00:00,1,1667704892,31080,0,31070,80,31468,0,30274,0
2026-08-25T10:29:47+00:00,1,1644746532,38840,0,38228,0,39228,0,37778,2
2026-08-25T10:30:47+00:00,1,1624602488,50568,53,50764,0,50700,0,49964,0
2026-08-25T10:31:47+00:00,1,1624463748,50568,0,50764,29,50700,88,49964,0
2026-08-25T10:32:47+00:00,1,1627297188,33356,0,33296,0,34084,1,36638,0
2026-08-25T10:33:48+00:00,1,1622762564,36030,0,35970,3,37054,0,35426,0
2026-08-25T10:34:48+00:00,1,1616046964,39480,0,39124,1,42044,1,38526,0
2026-08-25T10:35:48+00:00,1,1613228900,46218,3,45348,0,48780,0,45006,0
2026-08-25T10:36:48+00:00,1,1604484896,51848,69,52044,23,51468,0,50732,0
2026-08-25T10:37:48+00:00,1,1604328532,51848,0,52044,0,51148,0,50732,0
2026-08-25T10:38:49+00:00,1,1601723612,38988,1,38608,0,40256,0,37296,0
2026-08-25T10:39:49+00:00,1,1588817924,41366,0,41282,2,42728,0,39876,0
2026-08-25T10:40:49+00:00,1,1576306040,43746,0,43668,2,45116,0,42256,0
2026-08-25T10:41:49+00:00,1,1564578412,46338,0,46470,0,49548,0,44646,0
2026-08-25T10:42:49+00:00,1,1553443156,52872,0,53004,0,52492,99,51692,0
2026-08-25T10:43:50+00:00,1,1553453784,52872,93,53004,18,52492,93,51692,0
2026-08-25T10:44:50+00:00,1,1553614160,44036,0,48254,1,42778,3,43410,1
2026-08-25T10:45:50+00:00,1,1547071012,44090,0,43468,0,45250,0,42964,0
2026-08-25T10:46:50+00:00,1,1541159548,46562,0,45844,0,47630,0,45342,0
2026-08-25T10:47:50+00:00,1,1534259640,48952,0,48230,0,50532,0,47726,0
2026-08-25T10:48:51+00:00,1,1523981988,53803,0,52054,0,53772,0,51652,0
2026-08-25T10:49:51+00:00,1,1522137396,53897,93,54285,55,53772,99,52716,1
2026-08-25T10:50:51+00:00,1,1507068872,41645,0,54285,71,41520,0,40464,0
2026-08-25T10:51:51+00:00,1,1522961884,34022,0,34410,0,34154,2,33648,0
2026-08-25T10:52:51+00:00,1,1523905720,32712,0,33356,0,32898,0,31842,0
2026-08-25T10:53:51+00:00,1,1519435500,35743,0,35828,0,36130,0,34974,0
2026-08-25T10:54:52+00:00,1,1512935680,44302,0,43677,0,44233,1,42364,2
2026-08-25T10:55:52+00:00,1,1512382876,53387,95,54029,16,53775,59,52460,4
2026-08-25T10:56:52+00:00,1,1512541240,53387,70,54029,28,53775,96,52460,55
2026-08-25T10:57:52+00:00,1,1513478180,41372,0,41218,2,41558,0,39894,0
2026-08-25T10:58:52+00:00,1,1513140240,44046,3,43892,0,44434,0,42662,0
2026-08-25T10:59:53+00:00,1,1511084380,46422,0,46268,0,46810,3,45038,0
2026-08-25T11:00:53+00:00,1,1506277808,50955,55,49167,0,51343,0,49476,0
2026-08-25T11:01:53+00:00,1,1504543156,53387,55,54029,58,53775,63,52716,13
2026-08-25T11:02:53+00:00,1,1504042316,53387,0,54029,74,51401,1,52716,0
2026-08-25T11:03:53+00:00,1,1505312436,43516,0,44638,0,44200,26,41942,0
2026-08-25T11:04:53+00:00,1,1504460084,45892,0,45048,0,46578,3,44318,0
2026-08-25T11:05:54+00:00,1,1504858404,48570,66,47628,0,49160,0,46694,0
2026-08-25T11:06:54+00:00,1,1503319716,52479,0,50702,0,52967,0,50284,7
2026-08-25T11:07:54+00:00,1,1502779124,53387,59,54029,0,53775,0,52716,99
2026-08-25T11:08:54+00:00,1,1502003888,46258,0,54029,100,49522,0,52716,0
2026-08-25T11:09:54+00:00,1,1501947548,45434,0,44336,2,45526,0,43874,0
2026-08-25T11:10:55+00:00,1,1502073964,48014,0,46712,0,47902,0,46250,2
2026-08-25T11:11:55+00:00,1,1502522424,50390,1,48994,2,50280,2,48626,1
2026-08-25T11:12:55+00:00,1,1502892124,53805,0,51727,28,53123,2,51012,2
2026-08-25T11:13:55+00:00,1,1501448720,54155,0,55053,0,54287,39,52972,0
2026-08-25T11:14:55+00:00,1,1488878352,41903,0,55053,70,42035,0,52972,10
2026-08-25T11:15:56+00:00,1,1483464528,44999,0,45899,0,45239,0,43818,0
2026-08-25T11:16:56+00:00,1,1501682496,31630,0,32787,0,32220,0,30706,0
2026-08-25T11:17:56+00:00,1,1495558712,34506,2,35461,1,34988,0,33582,0
2026-08-25T11:18:56+00:00,1,1489202992,40051,2,40141,3,40919,2,38870,1
2026-08-25T11:19:56+00:00,1,1482567864,46988,5,46575,4,47120,3,45350,0
2026-08-25T11:20:57+00:00,1,1481103596,53386,0,54543,0,53518,62,52206,91
2026-08-25T11:21:57+00:00,1,1480784228,49526,0,53949,0,49700,0,50426,1
2026-08-25T11:22:57+00:00,1,1479491624,42110,1,42929,1,41892,0,40634,0
2026-08-25T11:23:57+00:00,1,1471536660,45082,1,45603,2,44958,1,43308,1
2026-08-25T11:24:57+00:00,1,1465103544,48227,3,47981,1,47847,0,45684,0
2026-08-25T11:25:58+00:00,1,1455411476,53643,74,52111,0,53519,0,51654,0
2026-08-25T11:26:58+00:00,1,1453603884,53643,62,54543,0,53519,0,52206,39
2026-08-25T11:27:58+00:00,1,1453950968,42632,3,53061,0,48768,0,45078,0
2026-08-25T11:28:58+00:00,1,1454203608,45306,3,44883,0,43994,0,43234,0
2026-08-25T11:29:58+00:00,1,1454033868,47682,0,47259,1,46370,2,45516,3
2026-08-25T11:30:59+00:00,1,1453680900,50126,0,49635,0,48950,1,47894,1
2026-08-25T11:31:59+00:00,1,1449334172,53643,0,51815,3,52153,3,51298,0
2026-08-25T11:32:59+00:00,1,1448452788,53643,0,54799,97,53519,0,52462,0
2026-08-25T11:33:59+00:00,1,1448357676,45922,0,54799,1,49362,0,47116,1
2026-08-25T11:35:00+00:00,1,1448127800,45442,0,44561,2,45022,1,44222,0
2026-08-25T11:36:00+00:00,1,1447718292,47820,3,46937,0,47398,0,46598,0
2026-08-25T11:37:00+00:00,1,1448093192,50494,1,49517,2,49978,0,48976,0
2026-08-25T11:38:00+00:00,1,1447188656,54155,64,52487,2,54799,40,52974,70
2026-08-25T11:39:00+00:00,1,1447326016,54155,0,55311,99,54799,100,52974,98
2026-08-25T11:40:01+00:00,1,1431570812,41903,0,55311,96,42547,0,40722,0
2026-08-25T11:41:01+00:00,1,1448959200,34610,0,35226,0,35738,2,33914,0
2026-08-25T11:42:01+00:00,1,1448648988,33242,0,33173,0,33685,0,32318,3
2026-08-25T11:43:01+00:00,1,1449117396,35714,0,35551,2,36063,2,34494,1
2026-08-25T11:44:01+00:00,1,1448766792,42646,3,41969,0,42833,0,40198,0
2026-08-25T11:45:02+00:00,1,1448361292,54155,0,47989,0,54799,100,46676,0
2026-08-25T11:46:02+00:00,1,1448416080,54155,0,54031,0,54799,0,52974,0
2026-08-25T11:47:02+00:00,1,1448738840,41264,2,52228,0,42816,0,45714,2
2026-08-25T11:48:02+00:00,1,1448497316,43736,1,42587,0,44085,0,41666,0
2026-08-25T11:49:02+00:00,1,1448365812,46316,3,44962,3,46527,0,44042,0
2026-08-25T11:50:03+00:00,1,1448719712,49301,0,47203,2,48839,0,46324,0
2026-08-25T11:51:03+00:00,1,1447726228,54155,98,51051,2,54799,0,51004,0
2026-08-25T11:52:03+00:00,1,1446930328,54155,58,54287,79,54799,0,53230,0
2026-08-25T11:53:03+00:00,1,1446653092,43110,0,54287,47,43957,0,51152,0
2026-08-25T11:54:03+00:00,1,1446546960,45784,0,43541,0,46335,0,43672,0
2026-08-25T11:55:04+00:00,1,1446293128,48458,1,45917,1,48807,0,46346,1
2026-08-25T11:56:04+00:00,1,1441318768,50836,2,48295,0,51385,1,48724,0
2026-08-25T11:57:04+00:00,1,1432208096,54155,0,50671,0,54799,0,51612,0
2026-08-25T11:58:04+00:00,1,1433840612,52618,80,54030,37,54030,0,53487,0
2026-08-25T11:59:05+00:00,1,1434219552,35770,0,54030,69,36117,1,53487,0
2026-08-25T12:00:05+00:00,1,1434939940,38444,54,45440,0,38695,0,36328,0
2026-08-25T12:01:05+00:00,1,1434781988,42101,0,38115,2,42145,39,38704,1
2026-08-25T12:02:05+00:00,1,1434917920,48573,0,40491,0,48665,0,42617,0
2026-08-25T12:03:05+00:00,1,1434991728,52619,79,45941,0,53519,0,48834,0
2026-08-25T12:04:05+00:00,1,1431016796,52619,33,52413,5,53519,80,52974,0
2026-08-25T12:05:06+00:00,1,1420191872,39342,0,54031,42,39986,0,52974,0
2026-08-25T12:06:06+00:00,1,1411617152,39342,0,54031,10,39986,0,38674,0
