run_id,episode_id,query_idx,query_state_phase,phase_coarse,phase_task,phase_source,phase_confidence
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,0,approach,MOVING,approach,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,1,grasp-contact,OPERATING,grasp-contact,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,2,transport-or-rotate,MOVING,transport-or-rotate,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,3,transport-or-rotate,MOVING,transport-or-rotate,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,4,place-release,OPERATING,place-release,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,5,verify,TRANSITION,verify,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,4,6,verify,TRANSITION,verify,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,0,approach,MOVING,approach,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,1,approach,MOVING,approach,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,2,grasp-contact,OPERATING,grasp-contact,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,3,grasp-contact,OPERATING,grasp-contact,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,4,transport-or-rotate,MOVING,transport-or-rotate,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,5,transport-or-rotate,MOVING,transport-or-rotate,manual_raw_contact_sheet_before_dvac,medium
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,6,place-release,OPERATING,place-release,manual_raw_contact_sheet_before_dvac,low
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,7,place-release,OPERATING,place-release,manual_raw_contact_sheet_before_dvac,low
fastwam-move_stapler_pad-p2-16ep-c63dc9b5-v1,6,8,place-release,OPERATING,place-release,manual_raw_contact_sheet_before_dvac,low
