step,train_num_trajectories,train_success_once,train_return,train_reward,eval_num_trajectories,eval_success_once,actor_approx_kl,actor_clip_fraction,actor_grad_norm,actor_policy_loss,actor_total_loss,critic_explained_variance,critic_value_loss,cumulative_mean_step_time_s,current_step_time_s,generate_rollouts_s,actor_training_s,eval_time_s
1,512,0.7871094,0.7871094,0.0039355466,,,0.064,0.097,34.3,-0.111,0.000518,-0.24,0.119,1492.234,1492.2,1460.8,23.819,
2,512,0.80078125,0.80078125,0.0040039057,,,0.021,0.084,30.291,-0.105,-0.0017,-0.083,0.078,1471.125,1450.0,1424.4,22.78,
3,512,0.7480469,0.7480469,0.003740234,,,0.012,0.064,23.012,-0.122,-0.0022,0.0057,0.086,1468.653,1463.7,1438.1,22.808,
4,512,0.7910156,0.7910156,0.003955078,,,0.014,0.075,34.022,-0.111,-0.0023,0.042,0.074,1458.88,1429.5,1405.5,21.679,
5,512,0.7578125,0.7578125,0.0037890621,,,0.014,0.056,27.332,-0.118,-0.0026,0.105,0.076,1461.485,1471.9,1446.4,22.883,
6,512,0.8496094,0.8496094,0.0042480463,,,0.0043,0.037,19.184,-0.1,-0.003,0.147,0.051,1466.618,1492.2,1466.1,22.986,
7,512,0.7871094,0.7871094,0.003935546,,,0.013,0.054,26.194,-0.11,-0.0027,0.19,0.067,1467.998,1476.2,1451.8,22.239,
8,512,0.81640625,0.81640625,0.004082031,,,0.0082,0.054,24.716,-0.102,-0.0028,0.219,0.058,1466.706,1457.6,1432.2,22.779,
9,512,0.76171875,0.76171875,0.0038085936,,,0.011,0.055,25.711,-0.11,-0.0029,0.223,0.064,1467.612,1474.8,1449.7,22.821,
10,512,0.8183594,0.8183594,0.0040917965,64,0.90625,0.011,0.051,24.463,-0.102,-0.003,0.286,0.054,1501.551,1807.0,1417.2,23.028,342.2
11,512,0.8496094,0.8496094,0.0042480463,,,0.016,0.059,29.189,-0.091,-0.0026,0.256,0.049,1508.418,1577.0,1552.7,23.027,
12,512,0.86328125,0.86328125,0.0043164063,,,0.0081,0.045,18.993,-0.088,-0.0031,0.281,0.039,1510.698,1535.7,1510.6,22.737,
13,512,0.8378906,0.8378906,0.004189453,,,0.015,0.054,31.696,-0.093,-0.0028,0.303,0.048,1517.248,1595.8,1570.2,23.187,
14,512,0.8535156,0.8535156,0.004267578,,,0.022,0.065,26.333,-0.09,-0.003,0.312,0.042,1523.747,1608.2,1582.9,22.954,
15,512,0.84375,0.84375,0.0042187497,,,0.017,0.046,20.056,-0.092,-0.0033,0.344,0.04,1528.164,1590.0,1564.9,22.97,
16,512,0.8535156,0.8535156,0.0042675775,,,0.012,0.065,22.739,-0.087,-0.003,0.355,0.04,1534.172,1624.2,1599.4,22.526,
17,512,0.890625,0.890625,0.0044531245,,,0.012,0.051,27.545,-0.076,-0.0028,0.351,0.032,1538.1,1600.9,1575.7,22.858,
18,512,0.8613281,0.8613281,0.0043066405,,,0.0081,0.047,27.971,-0.086,-0.0032,0.383,0.035,1539.504,1563.3,1537.5,23.379,
19,512,0.88671875,0.88671875,0.0044335932,,,0.018,0.058,36.021,-0.069,-0.0024,0.386,0.03,1541.225,1572.2,1546.2,23.433,
20,512,0.90625,0.90625,0.0045312494,64,0.96875,0.013,0.057,23.706,-0.07,-0.0028,0.397,0.024,1561.614,1949.0,1551.8,23.362,349.3
21,512,0.8847656,0.8847656,0.004423828,,,0.013,0.055,30.897,-0.076,-0.0029,0.397,0.029,1562.795,1586.4,1561.7,23.206,
22,512,0.9277344,0.9277344,0.0046386714,,,0.014,0.053,28.012,-0.057,-0.0023,0.419,0.02,1560.721,1517.1,1491.4,22.79,
