step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1276,0.703125,,0.042,0.105,21.87,0.15,0.501,1276.4,1246.7,21.621
2,2500,0.7597656,,0.023,0.074,19.486,0.084,0.489,1223.8,1201.6,19.923
3,3743,0.7890625,,0.015,0.08,19.018,0.083,0.437,1243.1,1218.1,22.958
4,5146,0.78515625,,0.022,0.068,20.299,0.087,0.507,1403.6,1378.3,23.022
5,6538,0.75390625,,0.018,0.089,28.755,0.094,0.579,1391.9,1366.5,23.005
6,7923,0.8339844,,0.015,0.068,19.751,0.073,0.437,1384.8,1359.7,22.7
7,9300,0.7949219,,0.024,0.064,17.911,0.07,0.443,1376.5,1351.0,22.768
8,10671,0.78515625,,0.015,0.067,20.162,0.085,0.463,1370.8,1345.2,23.336
9,12020,0.8378906,,0.013,0.06,19.022,0.076,0.388,1349.6,1324.1,23.347
10,13690,0.83203125,0.890625,0.024,0.069,16.604,0.082,0.368,1669.2,1319.8,22.889
11,15063,0.91015625,,0.0088,0.062,15.749,0.068,0.282,1373.5,1349.3,22.691
12,16446,0.87109375,,0.0094,0.047,16.202,0.062,0.31,1383.3,1358.2,22.738
13,17849,0.8359375,,0.014,0.07,21.489,0.087,0.367,1402.2,1376.9,23.027
14,19239,0.859375,,0.025,0.061,20.963,0.075,0.394,1389.9,1364.5,22.862
15,20621,0.8730469,,0.019,0.067,16.753,0.075,0.367,1382.8,1357.6,22.808
16,22010,0.9316406,,0.0067,0.04,12.144,0.053,0.154,1388.2,1363.0,23.012
17,23394,0.8457031,,0.017,0.055,18.418,0.069,0.304,1384.2,1360.7,21.427
18,24818,0.8652344,,0.015,0.072,20.764,0.082,0.368,1424.3,1399.1,22.964
19,26174,0.91796875,,0.013,0.068,17.099,0.081,0.233,1355.7,1331.2,22.209
20,27932,0.9121094,0.9375,0.02,0.077,17.839,0.083,0.286,1757.7,1394.1,22.847
21,29316,0.8964844,,0.016,0.064,18.877,0.081,0.321,1384.1,1359.6,22.945
22,30755,0.921875,,0.0045,0.078,13.845,0.071,0.234,1439.7,1416.1,21.384
23,32134,0.9199219,,0.023,0.069,15.017,0.085,0.247,1378.7,1353.7,22.589
24,33513,0.9082031,,0.0073,0.053,14.36,0.066,0.251,1379.0,1353.8,22.786
25,34894,0.9199219,,0.01,0.054,14.742,0.059,0.243,1380.6,1355.8,22.818
26,36239,0.9707031,,0.0046,0.053,9.901,0.053,0.079,1345.1,1319.7,23.002
27,37604,0.9238281,,0.0073,0.059,16.298,0.069,0.255,1365.3,1340.1,22.822
28,38978,0.8984375,,0.016,0.077,20.469,0.084,0.254,1373.6,1348.7,22.556
29,40327,0.921875,,0.016,0.066,12.97,0.072,0.251,1348.8,1324.5,22.21
30,41988,0.9765625,0.96875,0.014,0.08,8.353,0.076,0.076,1661.4,1325.8,20.839
31,43367,0.93359375,,0.021,0.054,15.664,0.073,0.211,1378.5,1355.2,21.836
32,44765,0.9277344,,0.0029,0.066,9.384,0.071,0.132,1398.3,1373.2,22.786
33,46107,0.94140625,,0.0099,0.051,12.894,0.063,0.19,1341.8,1317.1,22.438
34,47445,0.94140625,,0.006,0.044,13.913,0.061,0.153,1337.5,1312.6,22.819
35,48785,0.9550781,,0.024,0.061,10.523,0.077,0.135,1340.7,1316.3,22.355
36,50133,0.9589844,,0.017,0.062,10.562,0.073,0.079,1347.5,1322.6,22.894
37,51519,0.9394531,,0.0099,0.081,18.083,0.096,0.232,1385.8,1360.9,22.508
38,52954,0.9375,,0.022,0.08,17.525,0.088,0.211,1434.9,1409.8,22.601
39,54323,0.96484375,,0.0064,0.021,6.817,0.043,0.088,1368.9,1343.8,22.808
40,55957,0.9511719,0.984375,0.013,0.046,11.189,0.053,0.151,1634.4,1307.1,21.831
41,57293,0.9433594,,0.0048,0.056,11.538,0.064,0.173,1336.3,1313.9,21.03
42,58650,0.9628906,,0.019,0.079,13.832,0.077,0.133,1356.6,1331.9,22.651
43,60006,0.9394531,,0.011,0.025,16.097,0.051,0.175,1355.5,1332.2,21.26
44,61358,0.9277344,,0.021,0.079,15.602,0.091,0.19,1352.6,1327.4,22.841
45,62714,0.9511719,,0.036,0.058,12.641,0.083,0.174,1355.7,1330.9,22.706
46,64089,0.88671875,,0.015,0.058,17.194,0.075,0.32,1375.4,1351.4,21.923
47,65457,0.9550781,,0.012,0.099,13.016,0.093,0.132,1367.8,1343.5,22.07
48,66809,0.9199219,,0.0092,0.056,15.322,0.075,0.189,1351.3,1326.0,22.915
49,68166,0.8847656,,0.0072,0.076,20.829,0.09,0.308,1357.8,1332.8,22.979
50,69814,0.953125,0.96875,0.017,0.057,10.282,0.065,0.15,1647.6,1321.6,19.615
51,71160,0.94921875,,0.0096,0.048,15.118,0.048,0.154,1345.8,1323.2,21.252
52,72507,0.92578125,,0.016,0.084,15.817,0.083,0.232,1347.2,1322.4,22.652
