step,estimated_completion_utc,nearest_resource_utc,offset_seconds,cgroup_gib,host_available_gib,gpu_mean_gib,gpu_max_gib
1,2026-08-22T15:50:13+00:00,2026-08-22T15:50:01+00:00,-12,302.783,1681.829,50.261,51.59
2,2026-08-22T16:10:37+00:00,2026-08-22T16:11:04+00:00,27,462.381,1521.663,53.098,53.7
3,2026-08-22T16:31:20+00:00,2026-08-22T16:31:08+00:00,-12,494.27,1498.63,52.941,53.7
4,2026-08-22T16:54:43+00:00,2026-08-22T16:54:13+00:00,-30,603.133,1389.765,53.068,54.202
5,2026-08-22T17:17:55+00:00,2026-08-22T17:18:17+00:00,22,643.991,1349.026,43.47,52.233
6,2026-08-22T17:41:00+00:00,2026-08-22T17:41:22+00:00,22,712.729,1280.177,47.211,53.983
7,2026-08-22T18:03:57+00:00,2026-08-22T18:04:26+00:00,29,735.802,1257.211,44.219,54.483
8,2026-08-22T18:26:48+00:00,2026-08-22T18:26:31+00:00,-17,758.987,1234.047,53.087,53.702
9,2026-08-22T18:49:17+00:00,2026-08-22T18:49:35+00:00,18,784.582,1208.346,49.952,53.202
10,2026-08-22T19:17:07+00:00,2026-08-22T19:16:40+00:00,-27,892.197,1101.043,48.301,49.145
11,2026-08-22T19:40:00+00:00,2026-08-22T19:39:45+00:00,-15,1107.104,903.148,69.296,69.628
12,2026-08-22T20:03:03+00:00,2026-08-22T20:02:49+00:00,-14,1209.3,801.181,63.367,67.368
13,2026-08-22T20:26:26+00:00,2026-08-22T20:26:54+00:00,28,1260.15,750.861,60.896,69.159
14,2026-08-22T20:49:36+00:00,2026-08-22T20:49:59+00:00,23,1313.814,694.243,60.333,68.909
15,2026-08-22T21:12:38+00:00,2026-08-22T21:13:04+00:00,26,1322.755,684.273,63.011,69.878
16,2026-08-22T21:35:47+00:00,2026-08-22T21:36:08+00:00,21,1342.788,663.777,57.77,67.159
17,2026-08-22T21:58:51+00:00,2026-08-22T21:59:13+00:00,22,1346.15,660.256,59.521,68.159
18,2026-08-22T22:22:35+00:00,2026-08-22T22:22:18+00:00,-17,1336.28,670.134,68.961,70.062
19,2026-08-22T22:45:11+00:00,2026-08-22T22:45:22+00:00,11,1333.773,672.606,68.994,70.378
20,2026-08-22T23:14:29+00:00,2026-08-22T23:14:29+00:00,0,1382.777,623.542,53.834,54.321
21,2026-08-22T23:37:33+00:00,2026-08-22T23:37:33+00:00,0,1448.795,572.071,67.19,71.378
22,2026-08-23T00:01:32+00:00,2026-08-23T00:01:38+00:00,6,1470.863,548.607,60.208,70.409
23,2026-08-23T00:24:31+00:00,2026-08-23T00:24:43+00:00,12,1470.819,547.383,66.253,70.409
24,2026-08-23T00:47:30+00:00,2026-08-23T00:47:48+00:00,18,1474.472,543.884,62.324,69.062
25,2026-08-23T01:10:31+00:00,2026-08-23T01:10:52+00:00,21,1508.804,509.5,63.199,70.062
26,2026-08-23T01:32:56+00:00,2026-08-23T01:32:57+00:00,1,1511.202,507.697,69.119,69.812
27,2026-08-23T01:55:41+00:00,2026-08-23T01:56:02+00:00,21,1542.794,476.033,63.078,69.632
28,2026-08-23T02:18:35+00:00,2026-08-23T02:18:06+00:00,-29,1536.958,481.386,68.445,70.065
29,2026-08-23T02:41:04+00:00,2026-08-23T02:41:11+00:00,7,1554.826,463.782,69.436,70.565
30,2026-08-23T03:08:45+00:00,2026-08-23T03:08:16+00:00,-29,1580.492,438.761,57.795,59.403
31,2026-08-23T03:31:44+00:00,2026-08-23T03:31:21+00:00,-23,1607.677,423.891,67.162,68.315
32,2026-08-23T03:55:02+00:00,2026-08-23T03:55:26+00:00,24,1645.787,385.616,59.274,67.913
33,2026-08-23T04:17:24+00:00,2026-08-23T04:17:30+00:00,6,1643.751,388.02,68.998,69.815
34,2026-08-23T04:39:42+00:00,2026-08-23T04:39:35+00:00,-7,1642.07,389.264,68.85,69.815
35,2026-08-23T05:02:02+00:00,2026-08-23T05:01:39+00:00,-23,1642.085,389.651,65.738,66.065
36,2026-08-23T05:24:30+00:00,2026-08-23T05:24:43+00:00,13,1658.352,373.097,63.391,69.882
37,2026-08-23T05:47:36+00:00,2026-08-23T05:47:48+00:00,12,1654.787,376.743,66.257,70.065
38,2026-08-23T06:11:31+00:00,2026-08-23T06:11:53+00:00,22,1679.989,351.411,60.149,70.413
39,2026-08-23T06:34:20+00:00,2026-08-23T06:33:57+00:00,-23,1668.003,364.046,67.791,68.382
40,2026-08-23T07:01:34+00:00,2026-08-23T07:02:03+00:00,29,1724.8,306.909,57.922,59.017
41,2026-08-23T07:23:50+00:00,2026-08-23T07:24:07+00:00,17,1751.21,297.954,69.873,70.132
42,2026-08-23T07:46:27+00:00,2026-08-23T07:46:12+00:00,-15,1753.379,295.772,69.488,69.815
43,2026-08-23T08:09:03+00:00,2026-08-23T08:09:16+00:00,13,1782.9,266.385,67.436,67.815
44,2026-08-23T08:31:35+00:00,2026-08-23T08:31:21+00:00,-14,1802.598,244.511,69.873,70.882
45,2026-08-23T08:54:11+00:00,2026-08-23T08:54:25+00:00,14,1836.305,210.489,66.507,70.315
46,2026-08-23T09:17:06+00:00,2026-08-23T09:17:30+00:00,24,1852.172,194.477,63.141,69.882
47,2026-08-23T09:39:54+00:00,2026-08-23T09:39:34+00:00,-20,1865.602,181.298,67.623,68.132
48,2026-08-23T10:02:26+00:00,2026-08-23T10:02:39+00:00,13,1870.138,176.655,65.507,69.132
49,2026-08-23T10:25:03+00:00,2026-08-23T10:24:43+00:00,-20,1865.854,181.343,69.1,70.065
50,2026-08-23T10:52:31+00:00,2026-08-23T10:52:49+00:00,18,1900.378,146.383,56.728,58.739
51,2026-08-23T11:14:57+00:00,2026-08-23T11:14:53+00:00,-4,1901.833,156.043,68.248,68.413
