step,elapsed_s,train_success,eval_success,approx_kl,clip_fraction,grad_norm,ratio_abs,policy_loss_abs,step_time_s,generate_rollouts_s,actor_training_s
1,1276,0.703125,,0.042,0.105,21.87,0.15,0.501,1276.4,1246.7,21.621
2,2500,0.7597656,,0.023,0.074,19.486,0.084,0.489,1223.8,1201.6,19.923
3,3743,0.7890625,,0.015,0.08,19.018,0.083,0.437,1243.1,1218.1,22.958
4,5146,0.78515625,,0.022,0.068,20.299,0.087,0.507,1403.6,1378.3,23.022
5,6538,0.75390625,,0.018,0.089,28.755,0.094,0.579,1391.9,1366.5,23.005
6,7923,0.8339844,,0.015,0.068,19.751,0.073,0.437,1384.8,1359.7,22.7
7,9300,0.7949219,,0.024,0.064,17.911,0.07,0.443,1376.5,1351.0,22.768
8,10671,0.78515625,,0.015,0.067,20.162,0.085,0.463,1370.8,1345.2,23.336
9,12020,0.8378906,,0.013,0.06,19.022,0.076,0.388,1349.6,1324.1,23.347
10,13690,0.83203125,0.890625,0.024,0.069,16.604,0.082,0.368,1669.2,1319.8,22.889
11,15063,0.91015625,,0.0088,0.062,15.749,0.068,0.282,1373.5,1349.3,22.691
12,16446,0.87109375,,0.0094,0.047,16.202,0.062,0.31,1383.3,1358.2,22.738
13,17849,0.8359375,,0.014,0.07,21.489,0.087,0.367,1402.2,1376.9,23.027
14,19239,0.859375,,0.025,0.061,20.963,0.075,0.394,1389.9,1364.5,22.862
15,20621,0.8730469,,0.019,0.067,16.753,0.075,0.367,1382.8,1357.6,22.808
16,22010,0.9316406,,0.0067,0.04,12.144,0.053,0.154,1388.2,1363.0,23.012
17,23394,0.8457031,,0.017,0.055,18.418,0.069,0.304,1384.2,1360.7,21.427
18,24818,0.8652344,,0.015,0.072,20.764,0.082,0.368,1424.3,1399.1,22.964
19,26174,0.91796875,,0.013,0.068,17.099,0.081,0.233,1355.7,1331.2,22.209
20,27932,0.9121094,0.9375,0.02,0.077,17.839,0.083,0.286,1757.7,1394.1,22.847
21,29316,0.8964844,,0.016,0.064,18.877,0.081,0.321,1384.1,1359.6,22.945
22,30755,0.921875,,0.0045,0.078,13.845,0.071,0.234,1439.7,1416.1,21.384
23,32134,0.9199219,,0.023,0.069,15.017,0.085,0.247,1378.7,1353.7,22.589
24,33513,0.9082031,,0.0073,0.053,14.36,0.066,0.251,1379.0,1353.8,22.786
25,34894,0.9199219,,0.01,0.054,14.742,0.059,0.243,1380.6,1355.8,22.818
26,36239,0.9707031,,0.0046,0.053,9.901,0.053,0.079,1345.1,1319.7,23.002
27,37604,0.9238281,,0.0073,0.059,16.298,0.069,0.255,1365.3,1340.1,22.822
