step,train_success,eval_success,approx_kl,clip_fraction,grad_norm,critic_explained_variance,step_time_s,generate_rollouts_s,actor_training_s
1,0.7871094,,0.064,0.097,34.3,-0.24,1492.2,1460.8,23.819
2,0.80078125,,0.021,0.084,30.291,-0.083,1450.0,1424.4,22.78
3,0.7480469,,0.012,0.064,23.012,0.0057,1463.7,1438.1,22.808
4,0.7910156,,0.014,0.075,34.022,0.042,1429.5,1405.5,21.679
5,0.7578125,,0.014,0.056,27.332,0.105,1471.9,1446.4,22.883
6,0.8496094,,0.0043,0.037,19.184,0.147,1492.2,1466.1,22.986
7,0.7871094,,0.013,0.054,26.194,0.19,1476.2,1451.8,22.239
8,0.81640625,,0.0082,0.054,24.716,0.219,1457.6,1432.2,22.779
9,0.76171875,,0.011,0.055,25.711,0.223,1474.8,1449.7,22.821
10,0.8183594,0.90625,0.011,0.051,24.463,0.286,1807.0,1417.2,23.028
11,0.8496094,,0.016,0.059,29.189,0.256,1577.0,1552.7,23.027
12,0.86328125,,0.0081,0.045,18.993,0.281,1535.7,1510.6,22.737
13,0.8378906,,0.015,0.054,31.696,0.303,1595.8,1570.2,23.187
14,0.8535156,,0.022,0.065,26.333,0.312,1608.2,1582.9,22.954
15,0.84375,,0.017,0.046,20.056,0.344,1590.0,1564.9,22.97
16,0.8535156,,0.012,0.065,22.739,0.355,1624.2,1599.4,22.526
17,0.890625,,0.012,0.051,27.545,0.351,1600.9,1575.7,22.858
18,0.8613281,,0.0081,0.047,27.971,0.383,1563.3,1537.5,23.379
19,0.88671875,,0.018,0.058,36.021,0.386,1572.2,1546.2,23.433
20,0.90625,0.96875,0.013,0.057,23.706,0.397,1949.0,1551.8,23.362
21,0.8847656,,0.013,0.055,30.897,0.397,1586.4,1561.7,23.206
22,0.9277344,,0.014,0.053,28.012,0.419,1517.1,1491.4,22.79
23,0.91796875,,0.012,0.048,23.099,0.384,1579.7,1554.7,22.769
24,0.921875,,0.015,0.055,27.629,0.396,1544.6,1518.5,23.526
25,0.9121094,,0.0089,0.044,22.825,0.445,1437.7,1415.0,20.147
26,0.8964844,,0.016,0.065,31.207,0.424,1531.7,1506.5,23.232
27,0.90625,,0.014,0.064,28.37,0.427,1541.0,1514.1,24.265
28,0.8847656,,0.012,0.059,30.985,0.423,1558.5,1534.8,21.268
29,0.8886719,,0.018,0.048,29.117,0.44,1543.8,1518.3,22.979
30,0.8417969,0.90625,0.016,0.074,33.214,0.408,1987.3,1592.1,23.224
31,0.9316406,,0.0057,0.026,21.589,0.456,1585.6,1560.9,23.261
32,0.91796875,,0.011,0.054,19.935,0.43,1589.6,1564.2,22.964
33,0.875,,0.013,0.044,34.882,0.42,1542.6,1517.3,22.929
34,0.91015625,,0.018,0.057,24.532,0.425,1599.9,1574.7,22.849
35,0.90625,,0.0092,0.047,25.563,0.455,1539.9,1514.8,22.667
36,0.9316406,,0.013,0.057,20.904,0.438,1632.0,1606.6,22.851
37,0.9316406,,0.0078,0.047,21.587,0.451,1560.4,1535.5,22.593
38,0.91796875,,0.014,0.062,24.42,0.409,1628.2,1602.9,22.986
39,0.9199219,,0.0098,0.058,29.94,0.406,1594.2,1568.0,23.801
40,0.92578125,0.96875,0.0089,0.062,30.747,0.437,1908.6,1521.3,22.818
