step,control_raw,control_ma5,control_ma10,control_fixed,dvac_raw,dvac_ma5,dvac_ma10,dvac_fixed
1,0.8828125,,,,0.83203125,,,
2,0.7890625,,,,0.77734375,,,
3,0.8671875,,,,0.8671875,,,
4,0.77734375,,,,0.8359375,,,
5,0.859375,0.83515625,,0.90625,0.828125,0.828125,,0.84375
6,0.90234375,0.8390625,,,0.84765625,0.83125,,
7,0.8828125,0.8578125,,,0.83203125,0.8421875,,
8,0.8359375,0.8515625,,,0.85546875,0.83984375,,
9,0.828125,0.86171875,,,0.81640625,0.8359375,,
10,0.86328125,0.8625,0.848828125,0.9375,0.91015625,0.85234375,0.840234375,0.96875
11,0.93359375,0.86875,0.85390625,,0.71875,0.8265625,0.82890625,
12,0.828125,0.8578125,0.8578125,,0.7734375,0.81484375,0.828515625,
13,0.84375,0.859375,0.85546875,,0.8046875,0.8046875,0.822265625,
14,0.93359375,0.88046875,0.87109375,,0.84765625,0.8109375,0.8234375,
15,0.90234375,0.88828125,0.875390625,1.0,0.859375,0.80078125,0.8265625,0.90625
16,0.953125,0.8921875,0.88046875,,0.921875,0.84140625,0.833984375,
17,0.88671875,0.90390625,0.880859375,,0.8671875,0.86015625,0.8375,
18,0.87109375,0.909375,0.884375,,0.8203125,0.86328125,0.833984375,
19,0.828125,0.88828125,0.884375,,0.859375,0.865625,0.83828125,
20,0.9140625,0.890625,0.889453125,0.96875,0.890625,0.871875,0.836328125,0.84375
21,0.92578125,0.88515625,0.888671875,,0.90625,0.86875,0.855078125,
22,0.89453125,0.88671875,0.8953125,,0.80078125,0.85546875,0.8578125,
23,0.8203125,0.8765625,0.89296875,,0.86328125,0.8640625,0.863671875,
24,0.828125,0.8765625,0.882421875,,0.7109375,0.834375,0.85,
25,0.90234375,0.87421875,0.882421875,0.96875,0.88671875,0.83359375,0.852734375,0.875
26,0.86328125,0.86171875,0.8734375,,,,,
27,0.8359375,0.85,0.868359375,,,,,
