timestamp,driver_alive,host_mem_available_kib,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct
2026-09-01T13:33:33+00:00,1,1412088100,11,0,11,0
2026-09-01T13:34:33+00:00,1,2009701720,1194,0,1194,0
2026-09-01T13:35:33+00:00,1,1981489236,1716,0,1716,0
2026-09-01T13:36:33+00:00,1,1983035168,15364,0,15749,0
2026-09-01T13:37:33+00:00,1,1958700236,22876,0,23263,0
2026-09-01T13:38:33+00:00,1,1934021512,31114,0,31299,3
2026-09-01T13:39:34+00:00,1,1909008684,38888,1,39274,1
2026-09-01T13:40:34+00:00,1,1890052332,51044,0,51334,82
2026-09-01T13:41:34+00:00,1,1888173048,51046,0,51336,96
2026-09-01T13:42:34+00:00,1,1881383036,34770,3,35072,0
2026-09-01T13:43:34+00:00,1,1856580788,37072,9,37664,0
2026-09-01T13:44:34+00:00,1,1832043340,40741,0,41935,3
2026-09-01T13:45:35+00:00,1,1807456056,47503,10,48421,0
2026-09-01T13:46:35+00:00,1,1789603724,52138,93,52173,0
2026-09-01T13:47:35+00:00,1,1788602336,52138,99,49799,0
2026-09-01T13:48:35+00:00,1,1790584452,30062,0,31041,0
2026-09-01T13:49:35+00:00,1,1790558560,33054,0,35677,3
2026-09-01T13:50:35+00:00,1,1788474004,40249,0,42769,0
2026-09-01T13:51:36+00:00,1,1772957324,48109,3,50529,0
2026-09-01T13:52:36+00:00,1,1760284840,51861,0,52151,68
2026-09-01T13:53:36+00:00,1,1759155176,51861,95,51513,0
2026-09-01T13:54:36+00:00,1,1756975496,37585,3,38631,0
2026-09-01T13:55:36+00:00,1,1753388736,40263,0,41107,0
2026-09-01T13:56:36+00:00,1,1748759880,42849,0,43751,3
2026-09-01T13:57:37+00:00,1,1737470140,49079,2,50433,0
2026-09-01T13:58:37+00:00,1,1727385856,52117,0,52663,83
2026-09-01T13:59:37+00:00,1,1720439448,52116,7,38535,0
2026-09-01T14:00:37+00:00,1,1710605504,35144,0,35693,0
2026-09-01T14:01:37+00:00,1,1706170988,30335,3,30859,72
2026-09-01T14:02:37+00:00,1,1674999384,34317,1,34865,0
2026-09-01T14:03:38+00:00,1,1643670816,42421,1,43777,1
2026-09-01T14:04:38+00:00,1,1625534580,52293,100,52841,69
2026-09-01T14:05:38+00:00,1,1623444232,50513,0,48091,0
2026-09-01T14:06:38+00:00,1,1623717764,41175,0,41765,2
2026-09-01T14:07:38+00:00,1,1623799516,44151,0,44941,2
2026-09-01T14:08:38+00:00,1,1623846820,47687,0,49047,0
2026-09-01T14:09:38+00:00,1,1616560036,53573,100,53097,21
2026-09-01T14:10:39+00:00,1,1608089432,53573,0,53097,86
2026-09-01T14:11:39+00:00,1,1607424776,43653,0,42285,0
2026-09-01T14:12:39+00:00,1,1600101272,46031,1,44865,7
2026-09-01T14:13:39+00:00,1,1588479136,48711,2,47345,0
2026-09-01T14:14:39+00:00,1,1572492804,53259,2,50529,0
2026-09-01T14:15:39+00:00,1,1560148644,54597,96,53865,0
2026-09-01T14:16:40+00:00,1,1555128172,49847,0,48817,0
