step,control_raw,control_ma5,control_ma10,control_fixed,dvac_raw,dvac_ma5,dvac_ma10,dvac_fixed
1,0.88671875,,,,0.8359375,,,
2,0.8046875,,,,0.78515625,,,
3,0.87890625,,,,0.8203125,,,
4,0.87109375,,,,0.80859375,,,
5,0.83984375,0.85625,,0.875,0.859375,0.821875,,0.90625
6,0.89453125,0.8578125,,,0.8671875,0.828125,,
7,0.83203125,0.86328125,,,0.84375,0.83984375,,
8,0.85546875,0.85859375,,,0.8125,0.83828125,,
9,0.8671875,0.8578125,,,0.94921875,0.86640625,,
10,0.78515625,0.846875,0.8515625,0.84375,0.7890625,0.85234375,0.837109375,0.9375
11,0.70703125,0.809375,0.83359375,,0.8046875,0.83984375,0.833984375,
