step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_resident_transitions,global_new_transitions,global_resident_transitions,planned_optimizer_updates,actor_loss,critic_loss,alpha,alpha_loss,actor_entropy,actor_grad_norm,critic_grad_norm,actor_q_pi,critic_q_data
1,46,46.496,0.0,,0.0,38.197,0.0056,20.0,40.0,40.0,,,,,,,,,,
2,86,43.07,0.0,,0.0,38.955,0.012,40.0,40.0,80.0,,,,,,,,,,
3,124,41.43,0.0,,0.0,37.344,0.0059,60.0,40.0,120.0,,,,,,,,,,
4,161,40.421,0.0,,0.0,36.516,0.0061,80.0,40.0,160.0,,,,,,,,,,
5,199,39.847,0.0,,0.0,36.73,0.007,100.0,40.0,200.0,,,,,,,,,,
6,235,39.249,0.0,,0.0,35.405,0.006,120.0,40.0,240.0,,,,,,,,,,
7,272,38.893,0.0,,0.0,35.875,0.0072,140.0,40.0,280.0,,,,,,,,,,
8,309,38.64,0.0,,0.0,36.009,0.0037,160.0,40.0,320.0,,,,,,,,,,
9,339,37.745,0.0,,0.0,29.949,0.0043,180.0,40.0,360.0,,,,,,,,,,
10,371,37.138,0.0,,0.0,31.046,0.0038,200.0,40.0,400.0,,,,,,,,,,
11,408,37.12,0.0,,0.0,36.32,0.0067,220.0,40.0,440.0,,,,,,,,,,
12,445,37.139,0.0,,0.0,36.49,0.0052,240.0,40.0,480.0,,,,,,,,,,
13,927,71.327,0.25,0.25,0.005,36.995,337.6,258.5,37.0,517.0,740.0,-17.827,0.021,0.932,35.298,21.831,4.211,0.227,-2.516,-2.478
14,1242,88.753,0.5,,0.01375,32.425,282.0,274.0,31.0,548.0,620.0,-12.481,0.019,0.813,30.813,21.84,3.448,0.132,-5.276,-5.238
15,1626,108.45,0.25,,0.005,32.46,350.5,292.5,37.0,585.0,740.0,-7.649,0.035,0.705,26.708,21.834,2.916,0.29,-7.743,-7.699
16,2025,126.609,0.0,,0.0,34.471,363.1,312.5,40.0,625.0,800.0,-2.905,0.147,0.595,22.466,21.743,2.556,0.77,-10.033,-10.093
17,2400,141.18,0.0,,0.0,33.675,339.5,332.5,40.0,665.0,800.0,0.605,0.378,0.494,18.54,21.506,2.331,2.066,-11.239,-11.628
18,2674,148.569,0.75,,0.01625,28.162,245.2,347.5,30.0,695.0,600.0,2.746,0.595,0.417,15.626,21.429,2.096,4.106,-11.691,-12.014
19,3051,160.598,0.0,,0.0,33.209,342.8,367.5,40.0,735.0,800.0,4.43,0.729,0.351,13.08,21.274,1.885,5.445,-11.896,-12.233
