step,elapsed_s,step_time_s,training_time_s,grad_norm,learning_rate,loss,rlt_loss,vla_loss
1,17,17.8,17.8,4.22,2.5e-07,4.36,4.36,0.0
2,18,0.354,0.351,4.25,5e-07,4.36,4.36,0.0
3,18,0.363,0.361,4.28,7.5e-07,4.36,4.36,0.0
4,18,0.354,0.351,4.34,1e-06,4.37,4.37,0.0
5,19,0.356,0.353,4.22,1.25e-06,4.34,4.34,0.0
6,19,0.349,0.346,4.44,1.5e-06,4.37,4.37,0.0
7,19,0.351,0.348,4.31,1.75e-06,4.36,4.36,0.0
8,20,0.349,0.346,4.28,2e-06,4.36,4.36,0.0
9,20,0.353,0.351,4.28,2.25e-06,4.37,4.37,0.0
10,21,0.351,0.348,4.56,2.5e-06,4.37,4.37,0.0
11,21,0.353,0.35,4.34,2.75e-06,4.35,4.35,0.0
12,21,0.352,0.35,4.12,3e-06,4.37,4.37,0.0
13,22,0.366,0.363,4.25,3.25e-06,4.38,4.38,0.0
14,22,0.355,0.353,4.25,3.5e-06,4.35,4.35,0.0
15,22,0.351,0.349,4.47,3.75e-06,4.36,4.36,0.0
16,23,0.36,0.358,4.25,4e-06,4.36,4.36,0.0
17,23,0.353,0.351,4.31,4.25e-06,4.36,4.36,0.0
18,23,0.355,0.353,4.19,4.5e-06,4.35,4.35,0.0
19,24,0.357,0.355,4.44,4.75e-06,4.34,4.34,0.0
20,24,0.354,0.351,4.34,5e-06,4.33,4.33,0.0
21,24,0.351,0.348,4.28,5.25e-06,4.34,4.34,0.0
22,25,0.353,0.351,4.25,5.5e-06,4.3,4.3,0.0
23,25,0.353,0.351,4.34,5.75e-06,4.3,4.3,0.0
24,26,0.353,0.35,4.22,6e-06,4.3,4.3,0.0
25,26,0.351,0.349,4.38,6.25e-06,4.29,4.29,0.0
26,26,0.351,0.348,4.19,6.5e-06,4.28,4.28,0.0
27,27,0.352,0.349,4.25,6.75e-06,4.26,4.26,0.0
28,27,0.353,0.351,4.28,7e-06,4.27,4.27,0.0
29,27,0.353,0.35,3.98,7.25e-06,4.25,4.25,0.0
30,28,0.355,0.352,4.09,7.5e-06,4.25,4.25,0.0
31,28,0.352,0.35,4.12,7.75e-06,4.24,4.24,0.0
32,28,0.352,0.349,4.22,8e-06,4.24,4.24,0.0
33,29,0.351,0.349,4.03,8.25e-06,4.21,4.21,0.0
34,29,0.351,0.349,3.86,8.5e-06,4.17,4.17,0.0
35,29,0.36,0.357,3.98,8.75e-06,4.15,4.15,0.0
36,30,0.356,0.354,3.83,9e-06,4.12,4.12,0.0
37,30,0.36,0.357,3.8,9.25e-06,4.08,4.08,0.0
38,31,0.354,0.352,3.83,9.5e-06,4.06,4.06,0.0
39,31,0.353,0.35,4.03,9.75e-06,4.08,4.08,0.0
40,31,0.356,0.354,3.84,1e-05,4.01,4.01,0.0
41,32,0.351,0.349,3.75,1.02e-05,3.98,3.98,0.0
42,32,0.353,0.35,3.81,1.05e-05,3.96,3.96,0.0
43,32,0.356,0.353,3.59,1.08e-05,3.92,3.92,0.0
44,33,0.353,0.351,3.66,1.1e-05,3.89,3.89,0.0
45,33,0.357,0.355,3.7,1.13e-05,3.85,3.85,0.0
46,33,0.358,0.355,3.52,1.15e-05,3.8,3.8,0.0
47,34,0.353,0.351,3.44,1.18e-05,3.78,3.78,0.0
48,34,0.357,0.355,3.41,1.2e-05,3.75,3.75,0.0
49,34,0.356,0.354,3.3,1.22e-05,3.71,3.71,0.0
50,35,0.351,0.349,3.33,1.25e-05,3.67,3.67,0.0
51,35,0.352,0.349,3.14,1.27e-05,3.64,3.64,0.0
52,36,0.353,0.351,3.17,1.3e-05,3.59,3.59,0.0
53,36,0.353,0.35,3.22,1.32e-05,3.55,3.55,0.0
