step,elapsed_s,step_time_s,train_success,eval_success,reward,generate_rollouts_s,actor_training_s,local_cache_size,local_transition_count,global_min_replay_size,update_step,ready_for_online,actor_loss,critic_loss
1,100,100.276,0.0,,0.0,98.576,0.013,80.0,80.0,80.0,0.0,0.0,,
2,200,100.214,0.125,,0.00625,99.36,0.0057,155.5,75.5,151.0,0.0,0.0,,
3,298,99.664,0.125,,0.00625,97.804,0.0062,231.0,75.5,231.0,0.0,0.0,,
4,396,99.141,0.125,,0.006875,96.849,0.0064,306.0,75.0,301.0,0.0,0.0,,
5,490,98.19,0.25,,0.011875,93.628,0.0057,377.5,71.5,373.0,0.0,0.0,,
6,591,98.54,0.0,,0.0,99.596,0.0058,457.5,80.0,453.0,0.0,0.0,,
7,688,98.389,0.125,,0.006875,96.727,0.0036,532.5,75.0,523.0,0.0,0.0,,
8,778,97.301,0.25,,0.01125,89.086,0.006,604.5,72.0,594.0,0.0,0.0,,
9,872,96.996,0.25,,0.0125,93.801,0.006,675.5,71.0,665.0,0.0,0.0,,
10,972,97.252,0.0,,0.0,98.806,0.0061,755.5,80.0,745.0,0.0,0.0,,
11,1072,97.521,0.125,,0.005,99.412,0.0061,832.0,76.5,818.0,0.0,0.0,,
12,1172,97.682,0.0,,0.0,98.656,0.005,912.0,80.0,898.0,0.0,0.0,,
13,1272,97.887,0.0,,0.0,99.587,0.0062,992.0,80.0,978.0,0.0,0.0,,
14,1370,97.875,0.25,,0.0125,96.936,0.0058,1063.0,71.0,1049.0,0.0,0.0,,
15,1462,97.533,0.375,,0.018125001,92.009,0.0036,1130.0,67.0,1111.0,0.0,0.0,,
16,1559,97.449,0.0,,0.0,95.676,0.0057,1210.0,80.0,1191.0,0.0,0.0,,
17,1653,97.256,0.25,,0.0125,93.394,0.0066,1281.0,71.0,1262.0,0.0,0.0,,
18,1754,97.448,0.25,,0.0125,99.957,0.0066,1352.0,71.0,1342.0,0.0,0.0,,
19,1855,97.635,0.125,,0.00625,100.3,0.0038,1427.5,75.5,1413.0,0.0,0.0,,
20,1940,97.023,0.125,,0.00625,84.866,0.0027,1503.0,75.5,1484.0,0.0,0.0,,
21,2025,96.476,0.25,,0.011875,84.993,0.0042,1574.5,71.5,1556.0,0.0,0.0,,
22,2115,96.138,0.0,,0.0,88.5,0.0035,1654.5,80.0,1636.0,0.0,0.0,,
23,2197,95.558,0.25,,0.01375,82.289,0.0031,1724.5,70.0,1706.0,0.0,0.0,,
24,2293,95.559,0.125,,0.006875,95.07,0.0047,1799.5,75.0,1786.0,0.0,0.0,,
