h,weight_p05,weight_p50,weight_mean,weight_p95,clipped_z_p05,clipped_z_p50,clipped_z_mean,clipped_z_p95,log_v_l3_p05,log_v_l3_p50,log_v_l3_mean,log_v_l3_p95,weight_below_one_fraction,weight_above_one_fraction,weight_at_zero_fraction,weight_at_two_fraction
0,0.4469401240348816,0.8635315001010895,0.8513671718537807,1.23050656914711,-1.1061197519302368,-0.27293699979782104,-0.29726565529631443,0.4610130935907364,-4.475574361201784,-4.083673452438171,-4.0951168389463115,-3.7384481984562026,0.72265625,0.27734375,0.0,0.0
1,0.41578276455402374,0.8363934755325317,0.8643652757164091,1.374304324388504,-1.1684344708919525,-0.3272130638360977,-0.2712694526944688,0.7486086636781693,-4.504885260190493,-4.109203199048549,-4.082889121437492,-3.6031731067159507,0.73046875,0.26953125,0.0,0.0
2,0.45927727222442627,0.8336418569087982,0.8877165315207094,1.4615444839000702,-1.0814454555511475,-0.3327162563800812,-0.22456693452568288,0.923088863492012,-4.463968378112995,-4.111791781394885,-4.06092183441929,-3.5211034310526577,0.66015625,0.33984375,0.0,0.0
3,0.3884217143058777,0.8388432264328003,0.8727490166202188,1.429349035024643,-1.2231565713882446,-0.3223135769367218,-0.25450196580050033,0.8586980402469635,-4.5306244408589365,-4.106898495033628,-4.075002261551376,-3.5513907052853657,0.67578125,0.32421875,0.0,0.0
4,0.4047626107931137,0.8352922797203064,0.8780400266405195,1.4055749773979187,-1.1904747784137726,-0.3294154554605484,-0.24391994763755065,0.8111500144004822,-4.5152521336853,-4.110238977306209,-4.069822063587154,-3.5737556989732244,0.65625,0.34375,0.0,0.00390625
5,0.4330263137817383,0.890767365694046,0.9151534226257354,1.5014549791812897,-1.1339473724365234,-0.21846526116132736,-0.1696931555725314,1.0029099881649017,-4.488663633445305,-4.058051830041714,-4.034490994601174,-3.483558320198253,0.61328125,0.38671875,0.0,0.00390625
6,0.4099542945623398,0.861626923084259,0.9122207553591579,1.4937982261180878,-1.1800914108753204,-0.2767461836338043,-0.17555848856409284,0.987596407532692,-4.51036794244872,-4.085465280535218,-4.036438564467935,-3.490761323928884,0.640625,0.359375,0.0,0.00390625
7,0.4571404308080673,0.8769810199737549,0.9224308962002397,1.555702418088913,-1.0857191383838654,-0.24603795260190964,-0.1551382068419116,1.1114047467708588,-4.465978695878094,-4.071020965148133,-4.02575010023353,-3.432526164891118,0.6328125,0.3671875,0.0,0.01171875
8,0.4032074958086014,0.9263593852519989,0.9520586461294442,1.6689039766788483,-1.1935850083827972,-0.1472812369465828,-0.09588271215420718,1.3378079235553741,-4.516715018239106,-4.0245692505758,-3.99801352464116,-3.3260337031791067,0.5703125,0.4296875,0.0,0.0078125
9,0.3788559138774872,0.9772531688213348,0.9956653739791363,1.7327956557273865,-1.2422881722450256,-0.04549363814294338,-0.008669252915751713,1.465591311454773,-4.539623516799897,-3.976691794194817,-3.9554920328882948,-3.2659288074705786,0.5234375,0.4765625,0.00390625,0.0234375
10,0.42345769703388214,0.9183767735958099,0.9995313053950667,1.8970003724098206,-1.1530846059322357,-0.16324640065431595,-0.0009373941247758921,1.794000655412674,-4.497665137765823,-4.032078876774008,-3.9475611601900296,-3.1114560809638245,0.578125,0.421875,0.00390625,0.0390625
11,0.3878166377544403,0.974522739648819,1.0319889842066914,1.8267148733139038,-1.2243667244911194,-0.05095449648797512,0.0639779722005187,1.6534297168254852,-4.531193565399315,-3.979260456884872,-3.9207280911952562,-3.1775759782937065,0.53515625,0.46484375,0.00390625,0.0234375
12,0.3629349619150162,1.0000450015068054,1.0342397240456194,1.8311811685562134,-1.2741300761699677,8.997099939733744e-05,0.06847945127174171,1.6623623371124268,-4.554600633172653,-3.9552508833015825,-3.9142539833726624,-3.17337425113534,0.5,0.5,0.00390625,0.02734375
13,0.40444692969322205,1.0310952067375183,1.069457652978599,1.8933884501457214,-1.191106140613556,0.062190478667616844,0.13891530711816813,1.7867768704891205,-4.515549011680186,-3.9260409498618376,-3.8793663345186475,-3.1148540045193207,0.46484375,0.53515625,0.0,0.0390625
14,0.41687382757663727,1.0590702891349792,1.0754081609193236,1.9163687825202942,-1.1662523448467255,0.11814051866531372,0.1508163275411789,1.8327375650405884,-4.503858589796922,-3.8997239210070638,-3.872956941630655,-3.0932356769247287,0.453125,0.546875,0.00390625,0.0390625
