unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_total_mib,gpu0_util_pct,gpu0_mem_util_pct,gpu0_power_w,gpu1_used_mib,gpu1_total_mib,gpu1_util_pct,gpu1_mem_util_pct,gpu1_power_w,env_rss_kib,env_cpu_pct,actor_rss_kib,actor_cpu_pct,rollout_rss_kib,rollout_cpu_pct,driver_rss_kib,driver_cpu_pct,ray_rss_kib,ray_cpu_pct,matched_total_rss_kib,compute_process_count
1786115630,1.05477e+12,16772476928,314052608,16359178240,0,0,0,861046816768,0,81920,0,0,60.74,0,81920,0,0,60.80,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,0.00,0.00,25972.00,0
1786115632,1.05455e+12,17008250880,539676672,16359178240,0,0,0,861046816768,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,0.00,0.00,421320.00,0
1786115633,1.05444e+12,17119363072,652460032,16359182336,0,0,0,861046816768,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,0.00,0.00,582812.00,0
1786115634,1.05418e+12,17391681536,920698880,16359182336,0,0,0,861046816768,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,0.00,0.00,784572.00,0
1786115635,1.05388e+12,17606766592,1134215168,16359190528,0,0,0,861046812672,4,81920,0,0,61.40,4,81920,0,0,60.80,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,0.00,0.00,1072288.00,0
1786115636,1.05367e+12,17868259328,1350856704,16359211008,0,0,20480,861046812672,4,81920,0,0,60.74,4,81920,0,0,60.47,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,0.00,0.00,1350244.00,0
1786115637,1.0536e+12,17939435520,1418338304,16359211008,0,0,20480,861046812672,4,81920,0,0,60.74,4,81920,0,0,60.80,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,0.00,0.00,1413212.00,0
1786115639,1.05356e+12,17978503168,1455239168,16359211008,0,0,20480,861046812672,4,81920,0,0,60.74,4,81920,0,0,61.13,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,64036.00,0.00,1536500.00,0
1786115640,1.05299e+12,18566008832,2045329408,16359215104,0,0,20480,861046812672,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,646364.00,131.00,2120652.00,0
1786115641,1.05261e+12,18967035904,2437206016,16359235584,0,0,20480,861046812672,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3212,0.0,944112.00,118.60,2318760.00,0
