wave,rows,elapsed_seconds,train_success_once,eval_success_once,ogpo/actor_updates,ogpo/critic_updates,ogpo/updates_run,ogpo/ratio,ogpo/actor_loss,ogpo/actor_grad_norm,ogpo/bc_loss,ogpo/critic_loss,ogpo/critic_grad_norm,ogpo/q_mean,ogpo/td_target_mean,generate_rollouts,actor/run_training,eval,step_seconds
1.0,1600.0,814.0,0.0,,0.0,0.0,0.0,,,,,,,,,502.8,0.44,,504.1
2.0,3200.0,1312.0,0.0,,0.0,0.0,0.0,,,,,,,,,496.8,0.447,,498.1
3.0,4504.0,1783.0,0.375,,0.0,0.0,0.0,,,,,,,,,469.1,0.45,,470.5
4.0,5748.0,2267.0,0.5,,0.0,0.0,0.0,,,,,,,,,482.4,0.498,,483.8
5.0,7258.0,2769.0,0.125,,0.0,0.0,0.0,,,,,,,,,501.2,0.457,,502.6
6.0,8590.0,3285.0,0.375,,0.0,0.0,0.0,,,,,,,,,514.5,0.457,,515.9
7.0,10094.0,3879.0,0.125,,9.0,9.0,9.0,0.74,-1.81e-07,1.108,0.115,7.043,91.335,-0.219,-0.224,483.7,109.4,,594.1
8.0,11444.0,6037.0,0.375,,144.0,144.0,135.0,0.133,1.11e-05,0.511,0.074,0.037,2.489,-0.193,-0.191,500.5,1655.3,,2158.1
9.0,12758.0,8115.0,0.375,,275.0,275.0,131.0,0.195,4.14e-05,0.261,0.045,0.017,1.119,-0.08,-0.082,476.7,1598.4,,2077.9
10.0,14162.0,10338.0,0.25,,416.0,416.0,141.0,0.329,0.000167,0.242,0.04,0.013,0.7,0.0067,0.0066,492.1,1727.4,,2222.5
11.0,15664.0,12686.0,0.125,,566.0,566.0,150.0,0.575,0.00025,0.218,0.036,0.0099,0.623,0.054,0.054,515.7,1830.0,,2348.1
12.0,17070.0,14895.0,0.25,,707.0,707.0,141.0,0.745,0.000175,0.226,0.036,0.0091,0.601,0.065,0.064,485.4,1721.3,,2209.0
13.0,18481.0,17111.0,0.25,,848.0,848.0,141.0,0.83,9.97e-05,0.21,0.033,0.009,0.676,0.054,0.054,487.3,1726.6,,2216.2
14.0,20081.0,19852.0,0.0,0.35,1008.0,1008.0,160.0,0.88,6.81e-05,0.198,0.031,0.011,0.723,0.02,0.022,509.4,1954.8,273.7,2740.2
15.0,21323.0,21839.0,0.5,,1132.0,1132.0,124.0,0.893,5.94e-05,0.206,0.03,0.0097,0.602,0.0094,0.0086,469.8,1516.9,,1987.6
16.0,22742.0,24055.0,0.25,,1274.0,1274.0,142.0,0.908,5.3e-05,0.207,0.031,0.01,0.556,0.018,0.018,478.0,1735.9,,2216.0
17.0,24079.0,26152.0,0.375,,1407.0,1407.0,133.0,0.912,5.16e-05,0.206,0.029,0.011,0.607,0.02,0.02,465.5,1628.6,,2096.3
18.0,25333.0,28165.0,0.5,,1533.0,1533.0,126.0,0.914,4.62e-05,0.212,0.029,0.012,0.638,0.0013,0.0022,464.6,1546.6,,2013.3
19.0,26769.0,30440.0,0.25,,1676.0,1676.0,143.0,0.928,3.91e-05,0.197,0.027,0.011,0.574,0.000212,0.000205,523.4,1749.9,,2275.5
20.0,28054.0,32507.0,0.5,,1805.0,1805.0,129.0,0.926,4.11e-05,0.204,0.027,0.013,0.565,-0.0028,-0.0022,485.4,1579.3,,2066.8
21.0,29394.0,34653.0,0.375,,1939.0,1939.0,134.0,0.932,4.73e-05,0.203,0.027,0.011,0.489,0.02,0.02,471.0,1673.1,,2146.1
22.0,30730.0,36824.0,0.375,,2073.0,2073.0,134.0,0.937,3.96e-05,0.203,0.027,0.011,0.602,0.03,0.03,492.7,1675.6,,2170.4
23.0,32330.0,39329.0,0.0,,2233.0,2233.0,160.0,0.93,4e-05,0.207,0.027,0.012,0.555,0.036,0.036,502.0,2000.9,,2504.9
24.0,33861.0,41712.0,0.125,,2386.0,2386.0,153.0,0.943,4.09e-05,0.211,0.027,0.009,0.38,0.023,0.023,487.0,1894.6,,2383.6
25.0,34968.0,43535.0,0.625,,2496.0,2496.0,110.0,0.948,3.55e-05,0.201,0.026,0.01,0.471,0.032,0.033,464.6,1355.5,,1822.1
26.0,35000.0,44468.0,0.125,0.05,2500.0,2500.0,4.0,0.942,4.89e-05,0.183,0.02,0.0095,0.305,0.046,0.04,492.7,49.669,291.3,933.8
