wave,rows,elapsed_seconds,train_success_once,eval_success_once,ogpo/actor_updates,ogpo/critic_updates,ogpo/updates_run,ogpo/ratio,ogpo/actor_loss,ogpo/actor_grad_norm,ogpo/bc_loss,ogpo/critic_loss,ogpo/critic_grad_norm,ogpo/q_mean,ogpo/td_target_mean,generate_rollouts,actor/run_training,eval,step_seconds
1.0,1390.0,837.0,0.25,,0.0,0.0,0.0,,,,,,,,,528.9,0.449,,530.2
2.0,2735.0,1325.0,0.375,,0.0,0.0,0.0,,,,,,,,,487.0,0.445,,488.4
3.0,4050.0,1794.0,0.375,,0.0,0.0,0.0,,,,,,,,,467.0,0.45,,468.4
4.0,5563.0,2287.0,0.125,,0.0,0.0,0.0,,,,,,,,,492.1,0.457,,493.5
5.0,7076.0,2777.0,0.125,,0.0,0.0,0.0,,,,,,,,,488.5,0.457,,489.9
6.0,8676.0,3268.0,0.0,,0.0,0.0,0.0,,,,,,,,,489.7,0.462,,491.1
7.0,10088.0,4098.0,0.25,0.05,4.0,4.0,4.0,0.948,5.79e-07,1.206,0.115,15.038,172.8,-0.267,-0.354,489.7,49.498,289.4,829.5
8.0,11593.0,5523.0,0.125,,79.0,79.0,75.0,0.123,8.4e-08,0.707,0.089,0.097,5.032,-0.049,-0.054,522.9,901.5,,1425.3
9.0,12934.0,6807.0,0.375,,146.0,146.0,67.0,0.139,2.42e-06,0.344,0.057,0.014,1.393,0.012,0.012,472.2,809.1,,1283.9
10.0,14534.0,8290.0,0.0,,226.0,226.0,80.0,0.182,1.33e-05,0.258,0.044,0.01,1.046,0.024,0.024,516.5,963.7,,1482.6
11.0,16041.0,9715.0,0.125,,302.0,302.0,76.0,0.225,0.000101,0.248,0.04,0.0073,0.569,0.044,0.045,506.1,916.2,,1424.8
12.0,17447.0,11048.0,0.25,,372.0,372.0,70.0,0.335,0.000209,0.24,0.038,0.0085,0.68,0.059,0.06,483.9,847.1,,1333.4
13.0,18958.0,12468.0,0.125,,447.0,447.0,75.0,0.493,0.000209,0.209,0.034,0.0065,0.58,0.067,0.066,513.2,904.6,,1420.2
14.0,20360.0,14130.0,0.25,0.15,518.0,518.0,71.0,0.609,0.000208,0.208,0.034,0.0066,0.651,0.066,0.066,508.2,859.1,291.7,1661.2
15.0,21802.0,15483.0,0.25,,590.0,590.0,72.0,0.703,0.000214,0.238,0.035,0.0055,0.359,0.092,0.092,484.7,868.2,,1353.8
