unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_total_mib,gpu0_util_pct,gpu0_mem_util_pct,gpu0_power_w,gpu1_used_mib,gpu1_total_mib,gpu1_util_pct,gpu1_mem_util_pct,gpu1_power_w,env_rss_kib,env_cpu_pct,actor_rss_kib,actor_cpu_pct,rollout_rss_kib,rollout_cpu_pct,driver_rss_kib,driver_cpu_pct,ray_rss_kib,ray_cpu_pct,matched_total_rss_kib,compute_process_count
1786166854,1.05456e+12,64192143360,319787008,63626489856,0,0,0,798512271360,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,25432.00,0
1786166856,1.05434e+12,64424304640,543232000,63626489856,0,0,0,798512271360,0,81920,0,0,61.07,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,426564.00,0
1786166857,1.05423e+12,64532099072,655114240,63626493952,0,0,0,798512271360,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,580992.00,0
1786166858,1.05396e+12,64811737088,928727040,63626493952,0,0,0,798512271360,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,784784.00,0
1786166859,1.05367e+12,65015832576,1132371968,63626502144,0,0,0,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.80,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,1065984.00,0
1786166860,1.05345e+12,65279676416,1346949120,63626522624,0,0,20480,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,1331204.00,0
1786166861,1.05338e+12,65354858496,1421803520,63626522624,0,0,20480,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,1410116.00,0
1786166863,1.05334e+12,65392209920,1458987008,63626522624,0,0,20480,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,0.00,0.00,1472408.00,0
1786166864,1.05279e+12,65945300992,2010181632,63626526720,0,0,20480,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,594864.00,124.00,2070920.00,0
1786166865,1.05236e+12,66374881280,2431627264,63626547200,0,0,20480,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.19,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,940136.00,114.30,2321248.00,0
1786166866,1.05167e+12,67100569600,3128705024,63627812864,0,0,32768,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,1098124.00,102.70,2404832.00,0
1786166867,1.05152e+12,67251838976,3277369344,63627841536,0,0,32768,798512267264,4,81920,0,0,85.46,4,81920,0,0,65.79,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,1061520.00,84.50,2573776.00,0
1786166869,1.05028e+12,68508647424,4500561920,63627902976,0,0,32768,798512267264,4,81920,0,0,83.91,4,81920,0,0,82.69,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,1937828.00,73.20,5344396.00,0
1786166870,1.04957e+12,69206614016,5152333824,63628054528,0,0,32768,798512267264,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,1081604.00,61.30,5883084.00,0
1786166871,1.04932e+12,69464301568,5405822976,63628087296,0,0,32768,798512254976,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,83976.00,0.00,14308.00,0.00,3208,0.0,1349360.00,223.80,6289788.00,0
1786166872,1.0468e+12,72025227264,7926833152,63628378112,0,0,32768,798512234496,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3208,0.0,1099732.00,46.20,11642564.00,0
