unix_time,host_available_bytes,cgroup_current_bytes,cgroup_anon_bytes,cgroup_file_bytes,cgroup_oom_events,cgroup_oom_kill_events,shm_used_bytes,disk_available_bytes,gpu0_used_mib,gpu0_total_mib,gpu0_util_pct,gpu0_mem_util_pct,gpu0_power_w,gpu1_used_mib,gpu1_total_mib,gpu1_util_pct,gpu1_mem_util_pct,gpu1_power_w,env_rss_kib,env_cpu_pct,actor_rss_kib,actor_cpu_pct,rollout_rss_kib,rollout_cpu_pct,driver_rss_kib,driver_cpu_pct,ray_rss_kib,ray_cpu_pct,matched_total_rss_kib,compute_process_count
1786103623,1.05463e+12,3045117952,313409536,2666500096,0,0,0,875140538368,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,0.00,0.00,30032.00,0
1786103624,1.0544e+12,3287068672,548028416,2666500096,0,0,0,875140538368,0,81920,0,0,60.74,0,81920,0,0,60.19,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,0.00,0.00,439332.00,0
1786103625,1.05429e+12,3400540160,661557248,2666504192,0,0,0,875140538368,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,0.00,0.00,593776.00,0
1786103626,1.05401e+12,3676028928,932564992,2666508288,0,0,0,875140534272,0,81920,0,0,60.74,0,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,0.00,0.00,979764.00,0
1786103627,1.05371e+12,3897016320,1152512000,2666512384,0,0,0,875140534272,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,0.00,0.00,1155224.00,0
1786103629,1.05347e+12,4153171968,1361666048,2666532864,0,0,20480,875140534272,4,81920,0,0,60.74,4,81920,0,0,60.19,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,0.00,0.00,1362304.00,0
1786103630,1.0534e+12,4217937920,1424584704,2666532864,0,0,20480,875140534272,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,0.00,0.00,1430716.00,0
1786103631,1.05329e+12,4323295232,1529475072,2666536960,0,0,20480,875140534272,4,81920,0,0,60.74,4,81920,0,0,60.19,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,125412.00,0.00,1600936.00,0
1786103632,1.0527e+12,4902604800,2109218816,2666536960,0,0,20480,875140534272,4,81920,0,0,60.74,4,81920,0,0,60.19,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,699456.00,73.50,2175236.00,0
1786103633,1.05238e+12,5234409472,2430828544,2666557440,0,0,20480,875140534272,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,941460.00,117.30,2321372.00,0
1786103634,1.05171e+12,5939097600,3102785536,2667823104,0,0,32768,875140534272,4,81920,0,0,61.07,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,1098592.00,78.50,2407076.00,0
1786103636,1.05153e+12,6106669056,3273187328,2667851776,0,0,32768,875140534272,4,81920,0,0,70.00,4,81920,0,0,65.79,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,1060944.00,101.30,2574280.00,0
1786103637,1.04978e+12,7886675968,4972036096,2668064768,0,0,32768,875140534272,4,81920,0,0,70.00,4,81920,0,0,76.28,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,1078052.00,62.20,5730256.00,0
1786103638,1.04954e+12,8102600704,5187162112,2668064768,0,0,32768,875140534272,4,81920,0,0,61.07,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,1078956.00,53.40,5917848.00,0
1786103640,1.04854e+12,9097465856,6163718144,2668273664,0,0,32768,875140501504,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,1390244.00,111.90,8560064.00,0
1786103641,1.046e+12,11673341952,8711483392,2668384256,0,0,32768,875140501504,4,81920,0,0,60.74,4,81920,0,0,60.47,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,1098796.00,47.90,12435496.00,0
1786103642,1.04497e+12,12681273344,9705172992,2668421120,0,0,32768,875140501504,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,0.00,0.00,3048,0.0,1102496.00,40.40,13708048.00,0
1786103643,1.04334e+12,14306324480,11260788736,2668437504,0,0,32768,875140501504,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,0.00,0.00,1422972.00,166.60,3048,0.0,1103660.00,38.70,14633548.00,0
1786103645,1.04215e+12,15463989248,12464947200,2668466176,0,0,32768,875140501504,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,802572.00,89.60,1825480.00,181.60,3048,0.0,1104756.00,37.20,15799096.00,0
1786103646,1.04096e+12,16697290752,13469827072,2668605440,0,0,155648,875140497408,4,81920,0,0,60.74,4,81920,0,0,60.53,0.00,0.00,1616608.00,158.40,2524544.00,192.20,3048,0.0,1108788.00,35.80,17008380.00,0
1786103647,1.04049e+12,17155911680,13916639232,2668625920,0,0,155648,875140493312,4,81920,0,0,83.91,4,81920,0,0,65.79,2874392.00,185.10,1616608.00,123.40,2983424.00,191.80,3048,0.0,1110108.00,32.80,17642748.00,0
1786103649,1.04019e+12,17459208192,14215565312,2668961792,0,0,155648,875140493312,4,81920,0,0,83.91,4,81920,0,0,80.80,3143024.00,156.20,1616608.00,101.20,3136492.00,185.10,3048,0.0,1113508.00,30.70,18087964.00,0
1786103651,1.03993e+12,17686122496,14446620672,2668974080,0,0,155648,875140489216,19,81920,0,0,83.91,52,81920,2,0,81.55,3568392.00,165.60,1617028.00,92.80,3237380.00,191.40,3048,0.0,1113620.00,29.80,18552428.00,0
1786103652,1.03778e+12,19720839168,16463884288,2677370880,0,0,155648,875140489216,85,81920,6,0,67.23,465,81920,1,0,66.40,4148740.00,171.70,1617028.00,85.80,4948092.00,182.30,3048,0.0,1114364.00,27.50,21004980.00,3
1786103653,1.03589e+12,21527654400,18253250560,2685759488,0,0,155648,875140489216,507,81920,0,0,67.23,465,81920,0,0,66.07,4321424.00,166.80,1617028.00,74.50,6419576.00,187.20,3048,0.0,1114340.00,27.00,22529892.00,4
1786103655,1.03584e+12,21530869760,18254942208,2685759488,0,0,155648,875140489216,507,81920,0,0,67.23,465,81920,0,0,66.07,4321600.00,174.90,1617028.00,69.90,6419748.00,191.90,3048,0.0,1114340.00,26.60,22530240.00,4
1786103656,1.03583e+12,21560905728,18281062400,2689953792,0,0,155648,875140489216,585,81920,6,0,67.23,543,81920,0,0,66.07,4360452.00,181.10,1617028.00,65.80,6419748.00,195.90,3048,0.0,1114256.00,26.10,22570668.00,4
1786103657,1.03591e+12,21477625856,18195030016,2689945600,0,0,155648,875140489216,562,81920,1,0,67.23,503,81920,1,0,66.07,4125352.00,176.10,1617028.00,58.80,6420156.00,189.30,3048,0.0,1114912.00,24.60,22338296.00,3
1786103658,1.03517e+12,22485262336,19223851008,2680107008,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3891504.00,169.90,1617028.00,56.00,7810928.00,193.20,3048,0.0,1115496.00,24.20,23595280.00,2
1786103660,1.03295e+12,24647192576,21407203328,2652086272,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,161.70,1617212.00,53.40,9869236.00,196.20,3048,0.0,1115388.00,24.00,25660256.00,2
1786103661,1.03181e+12,25801519104,22573043712,2637586432,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,147.10,1617212.00,48.80,11018540.00,190.30,3048,0.0,1115376.00,22.80,26801604.00,2
1786103662,1.02991e+12,27666538496,24460197888,2613002240,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,140.90,1617212.00,46.80,12821344.00,193.20,3048,0.0,1116136.00,22.60,28592752.00,2
1786103664,1.02813e+12,29443702784,26257108992,2590449664,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,135.10,1617212.00,45.00,14603476.00,195.60,3048,0.0,1116644.00,22.10,30376556.00,2
1786103665,1.02639e+12,31250849792,28084465664,2567516160,0,0,155648,875140489216,504,81920,0,0,67.56,503,81920,0,0,66.07,3892104.00,129.80,1617212.00,43.30,16361260.00,197.80,3048,0.0,1117912.00,22.10,32141580.00,2
1786103666,1.02465e+12,33040506880,29891567616,2544205824,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,120.30,1617212.00,40.20,18130216.00,192.70,3048,0.0,1117920.00,21.10,33905028.00,2
1786103667,1.02283e+12,34859974656,31731712000,2521149440,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,116.10,1617212.00,38.90,19938516.00,195.00,3048,0.0,1118680.00,21.00,35722728.00,2
1786103669,1.021e+12,36667985920,33559375872,2497732608,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,112.20,1617212.00,37.70,21747900.00,197.20,3048,0.0,1118680.00,20.70,37533432.00,2
1786103670,1.01914e+12,38526324736,35418075136,2473988096,0,0,155648,875140489216,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,105.10,1617212.00,35.30,23604740.00,193.20,3048,0.0,1118252.00,20.00,39388116.00,2
1786103671,1.0173e+12,40411922432,37345107968,2449379328,0,0,155648,875140489216,504,81920,0,0,67.56,503,81920,0,0,66.07,3892104.00,101.80,1617212.00,34.30,25462236.00,195.30,3048,0.0,1118008.00,19.90,41240088.00,2
1786103673,1.01646e+12,41251979264,38186565632,2438283264,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.07,3892104.00,98.90,1617212.00,33.30,26039592.00,197.10,3048,0.0,1118864.00,19.80,41729860.00,2
1786103674,1.01646e+12,41251569664,38186479616,2438287360,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.40,3892104.00,96.10,1617212.00,32.50,26039592.00,199.00,3048,0.0,1118956.00,19.10,41729952.00,2
1786103675,1.01644e+12,41251540992,38186627072,2438287360,0,0,155648,875140485120,504,81920,0,0,67.56,503,81920,0,0,66.07,3892104.00,90.80,1617212.00,30.70,26039600.00,195.10,3048,0.0,1118824.00,19.00,41729828.00,2
1786103676,1.01643e+12,41251897344,38187024384,2438287360,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.40,3892104.00,88.40,1617212.00,30.00,26039600.00,196.60,3048,0.0,1119052.00,18.80,41730228.00,2
1786103678,1.01642e+12,41251913728,38187827200,2437734400,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.40,3892104.00,86.20,1617212.00,29.20,26039600.00,198.20,3048,0.0,1119548.00,18.80,41730892.00,2
1786103679,1.01642e+12,41251147776,38187339776,2437734400,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.07,3892104.00,82.00,1617212.00,27.80,26039600.00,194.90,3048,0.0,1119764.00,18.30,41730992.00,2
1786103680,1.01642e+12,41254899712,38189375488,2437734400,0,0,155648,875140485120,504,81920,0,0,67.23,503,81920,0,0,66.40,3892116.00,80.00,1617212.00,27.20,26039612.00,196.60,3048,0.0,1120912.00,18.30,41732052.00,2
