step,control_raw_pct,control_ma5_pct,control_ma10_pct,method_raw_pct,method_ma5_pct,method_ma10_pct
1.0,25.0,25.0,25.0,25.0,25.0,25.0
2.0,37.5,31.25,31.25,25.0,25.0,25.0
3.0,12.5,25.0,25.0,37.5,29.166666666666668,29.166666666666668
4.0,0.0,18.75,18.75,25.0,28.125,28.125
5.0,12.5,17.5,17.5,0.0,22.5,22.5
6.0,12.5,15.0,16.666666666666668,12.5,20.0,20.833333333333332
7.0,0.0,7.5,14.285714285714286,0.0,15.0,17.857142857142858
8.0,37.5,12.5,17.1875,12.5,10.0,17.1875
9.0,37.5,20.0,19.444444444444443,0.0,5.0,15.277777777777779
10.0,12.5,20.0,18.75,12.5,7.5,15.0
11.0,37.5,25.0,20.0,12.5,7.5,13.75
12.0,37.5,32.5,20.0,0.0,7.5,11.25
13.0,37.5,32.5,22.5,25.0,10.0,10.0
14.0,12.5,27.5,23.75,12.5,12.5,8.75
15.0,0.0,25.0,22.5,0.0,10.0,8.75
16.0,0.0,17.5,21.25,0.0,7.5,7.5
17.0,12.5,12.5,22.5,12.5,10.0,8.75
18.0,0.0,5.0,18.75,12.5,7.5,8.75
19.0,12.5,5.0,16.25,12.5,7.5,10.0
20.0,12.5,7.5,16.25,12.5,10.0,10.0
21.0,0.0,7.5,12.5,37.5,17.5,12.5
22.0,25.0,10.0,11.25,25.0,20.0,15.0
23.0,25.0,15.0,10.0,37.5,25.0,16.25
24.0,25.0,17.5,11.25,12.5,25.0,16.25
25.0,12.5,17.5,12.5,25.0,27.5,18.75
26.0,12.5,20.0,13.75,25.0,25.0,21.25
27.0,12.5,17.5,13.75,37.5,27.5,23.75
28.0,0.0,12.5,13.75,0.0,20.0,22.5
29.0,25.0,12.5,15.0,25.0,22.5,23.75
30.0,25.0,15.0,16.25,37.5,25.0,26.25
31.0,0.0,12.5,16.25,12.5,22.5,23.75
32.0,0.0,10.0,13.75,0.0,15.0,21.25
33.0,12.5,12.5,12.5,25.0,20.0,20.0
34.0,25.0,12.5,12.5,25.0,20.0,21.25
35.0,12.5,10.0,12.5,12.5,15.0,20.0
36.0,0.0,10.0,11.25,25.0,17.5,20.0
37.0,0.0,10.0,10.0,12.5,20.0,17.5
38.0,37.5,15.0,13.75,0.0,15.0,17.5
39.0,0.0,10.0,11.25,0.0,10.0,15.0
40.0,12.5,10.0,10.0,0.0,7.5,11.25
41.0,0.0,10.0,10.0,12.5,5.0,11.25
42.0,25.0,15.0,12.5,12.5,5.0,12.5
43.0,12.5,10.0,12.5,37.5,12.5,13.75
44.0,25.0,15.0,12.5,37.5,20.0,15.0
45.0,0.0,12.5,11.25,25.0,25.0,16.25
46.0,12.5,15.0,12.5,12.5,25.0,15.0
47.0,12.5,12.5,13.75,12.5,25.0,15.0
48.0,0.0,10.0,10.0,0.0,17.5,15.0
49.0,12.5,7.5,11.25,25.0,15.0,17.5
50.0,25.0,12.5,12.5,0.0,10.0,17.5
51.0,0.0,10.0,12.5,25.0,12.5,18.75
52.0,12.5,10.0,11.25,12.5,12.5,18.75
53.0,12.5,12.5,11.25,12.5,15.0,16.25
54.0,12.5,12.5,10.0,12.5,12.5,13.75
55.0,12.5,10.0,11.25,0.0,12.5,11.25
56.0,12.5,12.5,11.25,25.0,12.5,12.5
57.0,37.5,17.5,13.75,12.5,12.5,12.5
58.0,25.0,20.0,16.25,0.0,10.0,12.5
59.0,12.5,20.0,16.25,37.5,15.0,13.75
60.0,0.0,17.5,13.75,12.5,17.5,15.0
61.0,12.5,17.5,15.0,12.5,15.0,13.75
62.0,12.5,12.5,15.0,0.0,12.5,12.5
63.0,0.0,7.5,13.75,37.5,20.0,15.0
64.0,12.5,7.5,13.75,12.5,15.0,15.0
65.0,37.5,15.0,16.25,37.5,20.0,18.75
66.0,12.5,15.0,16.25,12.5,20.0,17.5
67.0,12.5,15.0,13.75,12.5,22.5,17.5
68.0,12.5,17.5,12.5,25.0,20.0,20.0
69.0,12.5,17.5,12.5,0.0,17.5,16.25
70.0,25.0,15.0,15.0,25.0,15.0,17.5
71.0,25.0,17.5,16.25,12.5,15.0,17.5
72.0,37.5,22.5,18.75,12.5,15.0,18.75
73.0,12.5,22.5,20.0,12.5,12.5,16.25
74.0,37.5,27.5,22.5,0.0,12.5,15.0
75.0,12.5,25.0,20.0,50.0,17.5,16.25
76.0,0.0,20.0,18.75,0.0,15.0,15.0
77.0,0.0,12.5,17.5,0.0,12.5,13.75
78.0,12.5,12.5,17.5,12.5,12.5,12.5
79.0,12.5,7.5,17.5,37.5,20.0,16.25
80.0,0.0,5.0,15.0,12.5,12.5,15.0
81.0,25.0,10.0,15.0,25.0,17.5,16.25
82.0,25.0,15.0,13.75,12.5,20.0,16.25
83.0,12.5,15.0,13.75,0.0,17.5,15.0
84.0,0.0,12.5,10.0,0.0,10.0,15.0
85.0,12.5,15.0,10.0,12.5,10.0,11.25
86.0,50.0,20.0,15.0,25.0,10.0,13.75
87.0,0.0,15.0,15.0,25.0,12.5,16.25
88.0,0.0,12.5,13.75,0.0,12.5,15.0
89.0,12.5,15.0,13.75,0.0,12.5,11.25
90.0,0.0,12.5,13.75,0.0,10.0,10.0
91.0,12.5,5.0,12.5,0.0,5.0,7.5
92.0,25.0,10.0,12.5,25.0,5.0,8.75
93.0,0.0,10.0,11.25,0.0,5.0,8.75
94.0,12.5,10.0,12.5,12.5,7.5,10.0
95.0,0.0,10.0,11.25,12.5,10.0,10.0
96.0,25.0,12.5,8.75,0.0,10.0,7.5
97.0,0.0,7.5,8.75,0.0,5.0,5.0
98.0,0.0,7.5,8.75,12.5,7.5,6.25
99.0,0.0,5.0,7.5,0.0,5.0,6.25
100.0,0.0,5.0,7.5,12.5,5.0,7.5
101.0,12.5,2.5,7.5,12.5,7.5,8.75
102.0,37.5,10.0,8.75,12.5,10.0,7.5
103.0,25.0,15.0,11.25,0.0,7.5,7.5
104.0,12.5,17.5,11.25,25.0,12.5,8.75
105.0,25.0,22.5,13.75,37.5,17.5,11.25
106.0,25.0,25.0,13.75,12.5,17.5,12.5
107.0,25.0,22.5,16.25,25.0,20.0,15.0
108.0,0.0,17.5,16.25,0.0,20.0,13.75
109.0,0.0,15.0,16.25,0.0,15.0,13.75
110.0,25.0,15.0,18.75,12.5,10.0,13.75
111.0,50.0,20.0,22.5,62.5,20.0,18.75
112.0,25.0,20.0,21.25,12.5,17.5,18.75
113.0,12.5,22.5,20.0,25.0,22.5,21.25
114.0,12.5,25.0,20.0,0.0,22.5,18.75
115.0,50.0,30.0,22.5,12.5,22.5,16.25
116.0,25.0,25.0,22.5,25.0,15.0,17.5
117.0,12.5,22.5,21.25,0.0,12.5,15.0
118.0,25.0,25.0,23.75,12.5,10.0,16.25
119.0,25.0,27.5,26.25,25.0,15.0,18.75
120.0,12.5,20.0,25.0,25.0,17.5,20.0
121.0,25.0,20.0,22.5,12.5,15.0,15.0
122.0,25.0,22.5,22.5,0.0,15.0,13.75
123.0,25.0,22.5,23.75,62.5,25.0,17.5
124.0,25.0,22.5,25.0,12.5,22.5,18.75
125.0,50.0,30.0,25.0,37.5,25.0,21.25
126.0,0.0,25.0,22.5,12.5,25.0,20.0
127.0,62.5,32.5,27.5,37.5,32.5,23.75
128.0,0.0,27.5,25.0,0.0,20.0,22.5
129.0,37.5,30.0,26.25,0.0,17.5,20.0
130.0,12.5,22.5,26.25,25.0,15.0,20.0
131.0,12.5,25.0,25.0,12.5,15.0,20.0
132.0,12.5,15.0,23.75,0.0,7.5,20.0
133.0,12.5,17.5,22.5,12.5,10.0,15.0
134.0,12.5,12.5,21.25,25.0,15.0,16.25
135.0,37.5,17.5,20.0,12.5,12.5,13.75
136.0,0.0,15.0,20.0,0.0,10.0,12.5
137.0,25.0,17.5,16.25,12.5,12.5,10.0
138.0,37.5,22.5,20.0,37.5,17.5,13.75
139.0,12.5,22.5,17.5,0.0,12.5,13.75
140.0,12.5,17.5,17.5,0.0,10.0,11.25
141.0,0.0,17.5,16.25,12.5,12.5,11.25
142.0,37.5,20.0,18.75,0.0,10.0,11.25
143.0,12.5,15.0,18.75,12.5,5.0,11.25
144.0,0.0,12.5,17.5,12.5,7.5,10.0
145.0,12.5,12.5,15.0,12.5,10.0,10.0
146.0,12.5,15.0,16.25,25.0,12.5,12.5
147.0,0.0,7.5,13.75,0.0,12.5,11.25
148.0,25.0,10.0,12.5,0.0,10.0,7.5
149.0,12.5,12.5,12.5,37.5,15.0,11.25
150.0,12.5,12.5,12.5,12.5,15.0,12.5
151.0,25.0,15.0,15.0,0.0,10.0,11.25
152.0,12.5,17.5,12.5,0.0,10.0,11.25
153.0,12.5,15.0,12.5,0.0,10.0,10.0
154.0,25.0,17.5,15.0,12.5,5.0,10.0
155.0,12.5,17.5,15.0,12.5,5.0,10.0
156.0,37.5,20.0,17.5,25.0,10.0,10.0
157.0,25.0,22.5,20.0,12.5,12.5,11.25
158.0,0.0,20.0,17.5,0.0,12.5,11.25
159.0,12.5,17.5,17.5,12.5,12.5,8.75
160.0,0.0,15.0,16.25,0.0,10.0,7.5
161.0,50.0,17.5,18.75,37.5,12.5,11.25
162.0,12.5,15.0,18.75,12.5,12.5,12.5
163.0,25.0,20.0,20.0,0.0,12.5,12.5
164.0,25.0,22.5,20.0,25.0,15.0,13.75
165.0,25.0,27.5,21.25,25.0,20.0,15.0
166.0,25.0,22.5,20.0,37.5,20.0,16.25
167.0,12.5,22.5,18.75,12.5,20.0,16.25
168.0,25.0,22.5,21.25,25.0,25.0,18.75
169.0,37.5,25.0,23.75,62.5,32.5,23.75
170.0,25.0,25.0,26.25,12.5,30.0,25.0
171.0,25.0,25.0,23.75,87.5,40.0,30.0
172.0,37.5,30.0,26.25,50.0,47.5,33.75
173.0,62.5,37.5,30.0,37.5,50.0,37.5
174.0,37.5,37.5,31.25,50.0,47.5,40.0
175.0,37.5,40.0,32.5,50.0,55.0,42.5
176.0,0.0,35.0,30.0,25.0,42.5,41.25
177.0,62.5,40.0,35.0,50.0,42.5,45.0
178.0,25.0,32.5,35.0,37.5,42.5,46.25
179.0,87.5,42.5,40.0,62.5,45.0,46.25
180.0,25.0,40.0,40.0,37.5,42.5,48.75
181.0,37.5,47.5,41.25,37.5,45.0,43.75
182.0,50.0,45.0,42.5,50.0,45.0,43.75
183.0,50.0,50.0,41.25,75.0,52.5,47.5
184.0,25.0,37.5,40.0,37.5,47.5,46.25
185.0,62.5,45.0,42.5,37.5,47.5,45.0
186.0,87.5,55.0,51.25,75.0,55.0,50.0
187.0,62.5,57.5,51.25,62.5,57.5,51.25
188.0,50.0,57.5,53.75,37.5,50.0,51.25
189.0,62.5,65.0,51.25,50.0,52.5,50.0
190.0,75.0,67.5,56.25,75.0,60.0,53.75
191.0,75.0,65.0,60.0,75.0,60.0,57.5
192.0,50.0,62.5,60.0,62.5,60.0,58.75
193.0,75.0,67.5,62.5,87.5,70.0,60.0
194.0,87.5,72.5,68.75,75.0,75.0,63.75
195.0,25.0,62.5,65.0,62.5,72.5,66.25
196.0,75.0,62.5,63.75,75.0,72.5,66.25
197.0,75.0,67.5,65.0,75.0,75.0,67.5
198.0,62.5,65.0,66.25,25.0,62.5,66.25
199.0,37.5,55.0,63.75,87.5,65.0,70.0
200.0,50.0,60.0,61.25,37.5,60.0,66.25
201.0,50.0,55.0,58.75,37.5,52.5,62.5
202.0,50.0,50.0,58.75,87.5,55.0,65.0
203.0,62.5,50.0,57.5,37.5,57.5,60.0
204.0,75.0,57.5,56.25,37.5,47.5,56.25
205.0,62.5,60.0,60.0,75.0,55.0,57.5
206.0,37.5,57.5,56.25,37.5,55.0,53.75
207.0,62.5,60.0,55.0,37.5,45.0,50.0
208.0,75.0,62.5,56.25,62.5,50.0,53.75
209.0,87.5,65.0,61.25,62.5,55.0,51.25
210.0,100.0,72.5,66.25,100.0,60.0,57.5
211.0,50.0,75.0,66.25,62.5,65.0,60.0
212.0,37.5,70.0,65.0,25.0,62.5,53.75
213.0,75.0,70.0,66.25,87.5,67.5,58.75
214.0,75.0,67.5,66.25,75.0,70.0,62.5
215.0,62.5,60.0,66.25,87.5,67.5,63.75
216.0,62.5,62.5,68.75,75.0,70.0,67.5
217.0,50.0,65.0,67.5,75.0,80.0,71.25
218.0,62.5,62.5,66.25,75.0,77.5,72.5
219.0,62.5,60.0,63.75,100.0,82.5,76.25
220.0,50.0,57.5,58.75,87.5,82.5,75.0
221.0,37.5,52.5,57.5,87.5,85.0,77.5
222.0,62.5,55.0,60.0,100.0,90.0,85.0
223.0,50.0,52.5,57.5,87.5,92.5,85.0
224.0,62.5,52.5,56.25,75.0,87.5,85.0
225.0,62.5,55.0,56.25,75.0,85.0,83.75
226.0,62.5,60.0,56.25,87.5,85.0,85.0
227.0,75.0,62.5,58.75,87.5,82.5,86.25
228.0,87.5,70.0,61.25,62.5,77.5,85.0
229.0,50.0,67.5,60.0,87.5,80.0,83.75
230.0,50.0,65.0,60.0,62.5,77.5,81.25
231.0,50.0,62.5,61.25,75.0,75.0,80.0
232.0,25.0,52.5,57.5,75.0,72.5,77.5
233.0,87.5,52.5,61.25,75.0,75.0,76.25
234.0,62.5,55.0,61.25,75.0,72.5,76.25
235.0,62.5,57.5,61.25,87.5,77.5,77.5
236.0,87.5,65.0,63.75,25.0,67.5,71.25
237.0,75.0,75.0,63.75,75.0,67.5,70.0
238.0,75.0,72.5,62.5,100.0,72.5,73.75
239.0,87.5,77.5,66.25,75.0,72.5,72.5
240.0,75.0,80.0,68.75,75.0,70.0,73.75
241.0,62.5,75.0,70.0,87.5,82.5,75.0
242.0,50.0,70.0,72.5,75.0,82.5,75.0
243.0,62.5,67.5,70.0,100.0,82.5,77.5
244.0,50.0,60.0,68.75,75.0,82.5,77.5
245.0,62.5,57.5,68.75,87.5,85.0,77.5
246.0,75.0,60.0,67.5,100.0,87.5,85.0
247.0,87.5,67.5,68.75,75.0,87.5,85.0
248.0,50.0,65.0,66.25,50.0,77.5,80.0
249.0,75.0,70.0,65.0,87.5,80.0,81.25
250.0,62.5,70.0,63.75,75.0,77.5,81.25
251.0,87.5,72.5,66.25,100.0,77.5,82.5
252.0,87.5,72.5,70.0,75.0,77.5,82.5
253.0,87.5,80.0,72.5,50.0,77.5,77.5
254.0,37.5,72.5,71.25,100.0,80.0,80.0
255.0,75.0,75.0,72.5,75.0,80.0,78.75
256.0,100.0,77.5,75.0,75.0,75.0,76.25
257.0,75.0,75.0,73.75,87.5,77.5,77.5
258.0,75.0,72.5,76.25,100.0,87.5,82.5
259.0,62.5,77.5,75.0,62.5,80.0,80.0
260.0,37.5,70.0,72.5,50.0,75.0,77.5
261.0,87.5,67.5,72.5,75.0,75.0,75.0
262.0,75.0,67.5,71.25,87.5,75.0,76.25
263.0,62.5,65.0,68.75,100.0,75.0,81.25
264.0,75.0,67.5,72.5,75.0,77.5,78.75
265.0,75.0,75.0,72.5,75.0,82.5,78.75
266.0,87.5,75.0,71.25,87.5,85.0,80.0
267.0,50.0,70.0,68.75,75.0,82.5,78.75
268.0,87.5,75.0,70.0,100.0,82.5,78.75
269.0,75.0,75.0,71.25,62.5,80.0,78.75
270.0,75.0,75.0,75.0,62.5,77.5,80.0
271.0,100.0,77.5,76.25,75.0,75.0,80.0
272.0,62.5,80.0,75.0,62.5,72.5,77.5
273.0,75.0,77.5,76.25,100.0,72.5,77.5
274.0,50.0,72.5,73.75,50.0,70.0,75.0
275.0,62.5,70.0,72.5,87.5,75.0,76.25
276.0,75.0,65.0,71.25,62.5,72.5,73.75
277.0,87.5,70.0,75.0,62.5,72.5,72.5
278.0,75.0,70.0,73.75,87.5,70.0,71.25
279.0,87.5,77.5,75.0,62.5,72.5,71.25
280.0,62.5,77.5,73.75,87.5,72.5,73.75
281.0,100.0,82.5,73.75,75.0,75.0,73.75
282.0,62.5,77.5,73.75,87.5,80.0,76.25
283.0,62.5,75.0,72.5,50.0,72.5,71.25
284.0,100.0,77.5,77.5,62.5,72.5,72.5
285.0,100.0,85.0,81.25,75.0,70.0,71.25
286.0,75.0,80.0,81.25,87.5,72.5,73.75
287.0,50.0,77.5,77.5,62.5,67.5,73.75
288.0,75.0,80.0,77.5,100.0,77.5,75.0
289.0,87.5,77.5,77.5,75.0,80.0,76.25
290.0,100.0,77.5,81.25,100.0,85.0,77.5
291.0,50.0,72.5,76.25,37.5,75.0,73.75
292.0,75.0,77.5,77.5,50.0,72.5,70.0
293.0,100.0,82.5,81.25,100.0,72.5,75.0
294.0,75.0,80.0,78.75,75.0,72.5,76.25
295.0,87.5,77.5,77.5,87.5,70.0,77.5
296.0,62.5,80.0,76.25,87.5,80.0,77.5
297.0,62.5,77.5,77.5,75.0,85.0,78.75
298.0,50.0,67.5,75.0,87.5,82.5,77.5
299.0,62.5,65.0,72.5,87.5,85.0,78.75
300.0,75.0,62.5,70.0,75.0,82.5,76.25
301.0,75.0,65.0,72.5,75.0,80.0,80.0
302.0,87.5,70.0,73.75,100.0,85.0,85.0
