timestamp,memory_current,memory_available_kb,gpu0_mib,gpu0_util,gpu1_mib,gpu1_util
2026-08-26T12:23:07+08:00,43772481536,1022992732,0, 0,0, 0
2026-08-26T12:23:12+08:00,44320141312,1022447820,0, 0,0, 0
2026-08-26T12:23:17+08:00,44537942016,1022148744,4, 0,4, 0
2026-08-26T12:23:22+08:00,44282703872,1022479312,0, 0,0, 0
2026-08-26T12:23:27+08:00,46346469376,1020366448,4, 0,4, 0
2026-08-26T12:23:32+08:00,49823432704,1016928832,4, 0,4, 0
2026-08-26T12:23:37+08:00,50954739712,1015767740,447, 0,4, 0
2026-08-26T12:23:42+08:00,51957637120,1014724480,935, 0,4, 0
2026-08-26T12:23:47+08:00,53273448448,1013434580,935, 0,4, 0
2026-08-26T12:23:52+08:00,55657418752,1011119072,947, 0,4, 0
2026-08-26T12:23:57+08:00,59224571904,1007641904,947, 0,4, 0
2026-08-26T12:24:03+08:00,62846976000,1004089288,947, 0,4, 0
2026-08-26T12:24:08+08:00,63257624576,1003647144,947, 0,4, 0
2026-08-26T12:24:13+08:00,63256608768,1003694632,947, 0,4, 0
2026-08-26T12:24:18+08:00,64689471488,1002290164,947, 0,4, 0
2026-08-26T12:24:23+08:00,64344969216,1002611844,947, 0,4, 0
2026-08-26T12:24:28+08:00,65979293696,1001029784,947, 0,4, 0
2026-08-26T12:24:33+08:00,62585409536,1004353344,947, 0,4, 0
2026-08-26T12:24:38+08:00,59896352768,1006979664,947, 0,4, 0
2026-08-26T12:24:43+08:00,63506272256,1003452672,947, 0,4, 0
2026-08-26T12:24:48+08:00,69656412160,997419536,947, 0,4, 0
2026-08-26T12:24:53+08:00,55776739328,1009593288,9867, 0,4, 0
2026-08-26T12:24:59+08:00,55825510400,1009545076,9867, 0,4, 0
2026-08-26T12:25:04+08:00,55936602112,1009393444,9873, 0,4, 0
2026-08-26T12:25:09+08:00,57241976832,1008052892,10155, 0,4, 0
2026-08-26T12:25:14+08:00,58332594176,1006901924,12986, 0,4, 0
2026-08-26T12:25:19+08:00,58816720896,1006438112,14050, 0,4, 0
2026-08-26T12:25:24+08:00,59885146112,1005401320,15114, 2,4, 0
2026-08-26T12:25:29+08:00,62178394112,1003187140,15676, 90,4, 0
2026-08-26T12:25:34+08:00,65507348480,999870144,16389, 0,447, 0
2026-08-26T12:25:39+08:00,66929926144,998435980,17469, 1,495, 1
2026-08-26T12:25:44+08:00,69698523136,995670504,18399, 6,917, 0
2026-08-26T12:25:50+08:00,71600963584,993812068,18889, 0,995, 0
2026-08-26T12:25:55+08:00,75284262912,990221452,21208, 0,947, 0
2026-08-26T12:26:00+08:00,78956195840,986647528,21208, 16,947, 0
2026-08-26T12:26:05+08:00,80930877440,984714944,21208, 0,947, 0
2026-08-26T12:26:10+08:00,80943939584,984689520,21208, 99,947, 0
2026-08-26T12:26:15+08:00,80991408128,984652372,21208, 100,947, 0
2026-08-26T12:26:20+08:00,83132088320,982577368,21208, 49,947, 0
2026-08-26T12:26:25+08:00,83341754368,982395552,21208, 57,947, 0
2026-08-26T12:26:30+08:00,82598854656,983103640,21208, 0,947, 0
2026-08-26T12:26:35+08:00,76443607040,989109364,21208, 67,947, 0
2026-08-26T12:26:40+08:00,78525587456,987075120,21208, 99,947, 0
2026-08-26T12:26:46+08:00,87482167296,978313100,21208, 0,947, 0
2026-08-26T12:26:51+08:00,73484619776,991878796,21208, 7,9825, 0
2026-08-26T12:26:56+08:00,73673617408,991652312,21223, 97,9849, 0
2026-08-26T12:27:01+08:00,73768366080,991545168,21223, 59,9853, 0
2026-08-26T12:27:06+08:00,74437193728,990860792,21223, 0,10137, 0
2026-08-26T12:27:11+08:00,75041218560,990600316,21223, 100,12924, 4
2026-08-26T12:27:16+08:00,75935420416,989689420,21223, 0,13683, 1
2026-08-26T12:27:21+08:00,76659568640,988979768,21223, 39,14493, 0
2026-08-26T12:27:26+08:00,77461295104,988166504,21223, 0,15557, 2
2026-08-26T12:27:32+08:00,78178312192,987520420,21223, 100,15918, 1
2026-08-26T12:27:37+08:00,78660759552,987324852,21223, 75,16982, 0
2026-08-26T12:27:42+08:00,79610380288,986253752,21223, 21,18048, 0
2026-08-26T12:27:47+08:00,79986794496,985722524,21223, 46,18576, 48
2026-08-26T12:27:52+08:00,80690098176,985023700,21223, 0,19318, 1
2026-08-26T12:27:57+08:00,80855883776,984867236,21223, 100,21194, 70
2026-08-26T12:28:02+08:00,81002168320,984716644,21223, 100,21194, 0
2026-08-26T12:28:07+08:00,81010102272,984696496,21223, 100,21194, 99
2026-08-26T12:28:12+08:00,81034506240,984690132,21223, 66,21194, 0
2026-08-26T12:28:17+08:00,81039917056,984688648,21223, 0,21194, 59
2026-08-26T12:28:23+08:00,81058689024,984633560,21223, 34,21194, 0
2026-08-26T12:28:28+08:00,81070678016,984591432,21223, 0,21194, 55
2026-08-26T12:28:33+08:00,81073205248,984590100,21223, 74,21194, 58
2026-08-26T12:28:38+08:00,80559898624,985205380,10025, 0,21194, 100
2026-08-26T12:28:43+08:00,80559247360,984844324,10025, 0,21194, 0
2026-08-26T12:28:48+08:00,80566575104,984850356,10025, 0,21194, 43
2026-08-26T12:28:53+08:00,81625251840,983755304,10691, 5,21194, 100
2026-08-26T12:28:58+08:00,82136600576,983233324,13138, 0,21194, 0
2026-08-26T12:29:03+08:00,83305598976,982061708,14202, 0,21194, 97
2026-08-26T12:29:08+08:00,84061552640,981357580,15266, 0,21194, 0
2026-08-26T12:29:14+08:00,84445106176,980993492,16084, 4,21194, 100
2026-08-26T12:29:19+08:00,85194743808,980228648,16892, 91,21194, 92
2026-08-26T12:29:24+08:00,85899792384,979551764,17605, 0,21194, 0
2026-08-26T12:29:29+08:00,86630481920,978871528,18672, 0,21194, 96
2026-08-26T12:29:34+08:00,87393595392,978128340,19483, 0,21194, 44
2026-08-26T12:29:39+08:00,87459364864,978096288,21224, 0,21194, 0
2026-08-26T12:29:44+08:00,87481008128,978075672,21224, 0,21194, 0
2026-08-26T12:29:49+08:00,87491166208,978059040,21224, 0,21194, 0
2026-08-26T12:29:54+08:00,87500959744,978039912,21224, 79,21194, 92
2026-08-26T12:30:00+08:00,87492227072,977991316,21224, 55,21194, 0
2026-08-26T12:30:05+08:00,87489957888,977996152,21224, 0,21194, 91
2026-08-26T12:30:10+08:00,87485530112,978003500,21224, 100,21194, 92
2026-08-26T12:30:15+08:00,87483994112,977994824,21224, 15,21194, 44
2026-08-26T12:30:20+08:00,87485677568,978005956,21224, 0,21194, 68
2026-08-26T12:30:25+08:00,87487160320,978006360,21224, 0,21194, 0
2026-08-26T12:30:30+08:00,87492558848,977991092,21224, 36,21194, 99
2026-08-26T12:30:35+08:00,85456621568,980110688,21223, 0,9992, 0
2026-08-26T12:30:40+08:00,85450788864,980131332,21223, 0,9992, 0
2026-08-26T12:30:45+08:00,85456412672,980136648,21223, 14,9992, 0
2026-08-26T12:30:51+08:00,86524350464,979056920,21223, 95,10852, 6
2026-08-26T12:30:56+08:00,87296135168,978313820,21223, 26,13109, 0
2026-08-26T12:31:01+08:00,87755980800,977828728,21223, 0,14172, 0
2026-08-26T12:31:06+08:00,88839028736,976793824,21223, 0,15236, 0
2026-08-26T12:31:11+08:00,89318076416,976330520,21223, 92,16054, 0
2026-08-26T12:31:16+08:00,89636933632,975990592,21223, 42,16862, 0
2026-08-26T12:31:21+08:00,90394435584,975283416,21223, 79,17576, 10
2026-08-26T12:31:26+08:00,91085221888,974613824,21223, 36,18642, 0
2026-08-26T12:31:31+08:00,91850080256,973863364,21223, 96,19454, 2
2026-08-26T12:31:36+08:00,91876687872,973855668,21223, 62,21194, 0
2026-08-26T12:31:42+08:00,91882348544,973821508,21223, 98,21194, 58
2026-08-26T12:31:47+08:00,91881914368,973837584,21223, 100,21194, 43
2026-08-26T12:31:52+08:00,91892289536,973844828,21223, 24,21194, 0
2026-08-26T12:31:57+08:00,91869900800,973841236,21223, 98,21194, 80
2026-08-26T12:32:02+08:00,91871666176,973817320,21223, 100,21194, 83
2026-08-26T12:32:07+08:00,91873259520,973833920,21223, 100,21194, 0
2026-08-26T12:32:12+08:00,89505976320,976193612,10025, 0,21194, 0
2026-08-26T12:32:17+08:00,89513287680,976245644,10025, 0,21194, 0
2026-08-26T12:32:22+08:00,89514176512,976257868,10025, 0,21194, 100
2026-08-26T12:32:27+08:00,90401333248,975338824,10307, 0,21194, 0
2026-08-26T12:32:33+08:00,91054702592,974582952,13394, 0,21194, 94
2026-08-26T12:32:38+08:00,91867496448,973776348,14202, 0,21194, 0
2026-08-26T12:32:43+08:00,92193951744,979589564,15266, 5,21194, 19
2026-08-26T12:32:48+08:00,92977135616,978813972,15723, 0,21194, 3
2026-08-26T12:32:53+08:00,93740630016,978079204,16797, 3,21194, 0
2026-08-26T12:32:58+08:00,94467141632,977214448,17605, 0,21194, 25
2026-08-26T12:33:03+08:00,95211614208,976325836,18470, 5,21194, 7
2026-08-26T12:33:08+08:00,95670693888,975874232,19282, 0,21194, 80
2026-08-26T12:33:13+08:00,96154681344,975378228,21223, 57,21194, 100
2026-08-26T12:33:18+08:00,96163053568,975358500,21223, 100,21194, 85
2026-08-26T12:33:24+08:00,96164179968,975331316,21223, 39,21194, 76
2026-08-26T12:33:29+08:00,96169582592,975266784,21223, 0,21194, 100
2026-08-26T12:33:34+08:00,96170356736,975254692,21223, 0,21194, 0
2026-08-26T12:33:39+08:00,96170123264,975257028,21223, 43,21194, 0
2026-08-26T12:33:44+08:00,96172937216,975229032,21223, 71,21194, 0
2026-08-26T12:33:49+08:00,96172650496,975150988,21223, 0,21194, 39
2026-08-26T12:33:54+08:00,96173207552,975111396,21223, 0,21194, 16
2026-08-26T12:33:59+08:00,96174096384,974876908,21223, 0,21194, 0
2026-08-26T12:34:04+08:00,96179322880,974753084,21223, 38,21194, 0
2026-08-26T12:34:10+08:00,96177909760,974188260,21223, 35,21194, 68
2026-08-26T12:34:15+08:00,89811464192,980511312,21223, 0,9992, 0
2026-08-26T12:34:20+08:00,89812316160,980510856,21223, 100,9992, 0
2026-08-26T12:34:25+08:00,89816715264,980512452,21223, 0,9992, 0
2026-08-26T12:34:30+08:00,90848509952,979326272,21223, 52,10852, 0
2026-08-26T12:34:35+08:00,91465945088,978680332,21223, 81,13365, 0
2026-08-26T12:34:40+08:00,92114948096,978038448,21223, 50,14172, 0
2026-08-26T12:34:45+08:00,93002829824,976611660,21223, 100,15236, 0
2026-08-26T12:34:50+08:00,93362982912,976096964,21223, 0,16054, 20
2026-08-26T12:34:55+08:00,94036328448,974443864,21223, 17,16768, 1
2026-08-26T12:35:00+08:00,94734098432,973273756,21223, 100,17576, 0
2026-08-26T12:35:06+08:00,95479840768,972528996,21223, 97,18642, 0
2026-08-26T12:35:11+08:00,96218308608,971948760,21223, 0,19508, 6
2026-08-26T12:35:16+08:00,96374243328,971793184,21223, 0,21194, 83
2026-08-26T12:35:21+08:00,96373968896,971763076,21223, 0,21194, 0
2026-08-26T12:35:26+08:00,96375918592,971741960,21223, 23,21194, 38
2026-08-26T12:35:31+08:00,96373633024,971740104,21223, 16,21194, 100
2026-08-26T12:35:36+08:00,96375861248,971690724,21223, 0,21194, 100
2026-08-26T12:35:41+08:00,96380317696,971121268,21223, 0,21194, 0
2026-08-26T12:35:46+08:00,96379191296,970962824,21223, 44,21194, 0
2026-08-26T12:35:51+08:00,96378142720,970978120,21223, 0,21194, 0
2026-08-26T12:35:57+08:00,96381059072,970967516,17179, 13,21194, 100
2026-08-26T12:36:02+08:00,90536009728,976095696,10025, 0,21194, 0
2026-08-26T12:36:07+08:00,90538209280,975585636,10025, 0,21194, 0
2026-08-26T12:36:12+08:00,90546884608,975585316,10025, 0,21194, 0
2026-08-26T12:36:17+08:00,91624001536,974488404,10949, 0,21194, 52
2026-08-26T12:36:22+08:00,92426031104,973415740,13849, 0,21194, 0
2026-08-26T12:36:27+08:00,93168648192,972690552,14458, 3,21194, 100
2026-08-26T12:36:32+08:00,93646159872,972217624,15266, 0,21194, 0
2026-08-26T12:36:37+08:00,94748299264,971477816,16340, 0,21194, 0
2026-08-26T12:36:42+08:00,95236411392,970993072,17148, 0,21194, 55
2026-08-26T12:36:47+08:00,95590596608,970654832,17958, 0,21194, 78
2026-08-26T12:36:53+08:00,96284200960,969963912,18671, 10,21194, 99
2026-08-26T12:36:58+08:00,97001762816,974402784,19739, 0,21194, 79
2026-08-26T12:37:03+08:00,97176723456,973923476,21223, 0,21194, 30
2026-08-26T12:37:08+08:00,97178865664,973823628,21223, 0,21194, 27
2026-08-26T12:37:13+08:00,97186574336,972910468,21223, 0,21194, 0
2026-08-26T12:37:18+08:00,97181655040,972890228,21223, 19,21194, 59
2026-08-26T12:37:23+08:00,97186902016,972859972,21223, 0,21194, 84
2026-08-26T12:37:28+08:00,97189429248,969809432,21223, 0,21194, 67
2026-08-26T12:37:33+08:00,97193680896,970586632,21223, 72,21194, 63
2026-08-26T12:37:38+08:00,97196634112,970558400,21223, 19,21194, 0
2026-08-26T12:37:43+08:00,97198510080,970583164,21223, 0,21194, 99
2026-08-26T12:37:49+08:00,93554487296,974271188,21223, 58,9992, 0
2026-08-26T12:37:54+08:00,93552435200,974238048,21223, 100,9992, 0
2026-08-26T12:37:59+08:00,93556928512,974128780,21223, 2,9992, 0
2026-08-26T12:38:04+08:00,94615203840,973076400,21223, 97,10402, 3
2026-08-26T12:38:09+08:00,95164887040,971241616,21223, 0,13365, 0
2026-08-26T12:38:14+08:00,96075923456,970329168,21223, 28,14172, 0
2026-08-26T12:38:19+08:00,96690061312,969466228,21223, 100,15236, 0
2026-08-26T12:38:24+08:00,97144545280,969050232,21223, 0,15774, 78
2026-08-26T12:38:29+08:00,97802076160,968559592,21223, 31,16768, 0
2026-08-26T12:38:34+08:00,98530144256,967832980,21223, 0,17576, 0
2026-08-26T12:38:40+08:00,99279933440,967099252,21223, 0,18642, 0
2026-08-26T12:38:45+08:00,99915427840,971345548,21223, 0,19252, 0
2026-08-26T12:38:50+08:00,100241297408,971024820,21223, 0,21194, 0
2026-08-26T12:38:55+08:00,100241649664,971017616,21223, 100,21194, 0
2026-08-26T12:39:00+08:00,100245880832,971014296,21223, 100,21194, 100
2026-08-26T12:39:05+08:00,100247273472,971022860,21223, 7,21194, 99
2026-08-26T12:39:10+08:00,100249432064,971028432,21223, 0,21194, 81
2026-08-26T12:39:15+08:00,100250329088,971035440,21223, 95,21194, 0
2026-08-26T12:39:20+08:00,100248895488,971045060,21223, 96,21194, 45
2026-08-26T12:39:25+08:00,100250791936,971055264,21223, 0,21194, 0
2026-08-26T12:39:31+08:00,100245897216,971062944,21223, 0,21194, 100
2026-08-26T12:39:36+08:00,100249337856,971076240,21223, 0,21194, 0
2026-08-26T12:39:41+08:00,100253634560,971143336,21223, 3,21194, 7
2026-08-26T12:39:46+08:00,100250066944,971456828,21223, 40,21194, 0
2026-08-26T12:39:51+08:00,95434805248,976273400,10025, 0,21194, 97
2026-08-26T12:39:56+08:00,95113961472,976592032,10025, 0,21194, 0
2026-08-26T12:40:01+08:00,95111061504,976609288,10025, 0,21194, 0
2026-08-26T12:40:06+08:00,95112761344,976527536,10885, 0,21194, 0
2026-08-26T12:40:11+08:00,95116005376,976491968,13394, 5,21194, 0
2026-08-26T12:40:16+08:00,95115116544,976481248,14202, 0,21194, 60
2026-08-26T12:40:22+08:00,95601438720,976014972,15266, 0,21194, 93
2026-08-26T12:40:27+08:00,96413257728,975216396,16084, 0,21194, 0
2026-08-26T12:40:32+08:00,97041362944,974605544,17148, 2,21194, 100
2026-08-26T12:40:37+08:00,97556025344,974109364,17910, 6,21194, 99
2026-08-26T12:40:42+08:00,98303447040,973383208,18671, 0,21194, 74
2026-08-26T12:40:47+08:00,98985164800,972713728,19739, 0,21194, 80
2026-08-26T12:40:52+08:00,99064516608,972635820,21223, 2,21194, 20
2026-08-26T12:40:57+08:00,99073617920,972642344,21223, 99,21194, 0
2026-08-26T12:41:02+08:00,99071029248,972659364,21223, 13,21194, 0
2026-08-26T12:41:07+08:00,99072905216,972661304,21223, 0,21194, 54
2026-08-26T12:41:12+08:00,99073241088,972680944,21223, 100,21194, 0
2026-08-26T12:41:18+08:00,99075518464,972676736,21223, 37,21194, 36
2026-08-26T12:41:23+08:00,99076575232,972671960,21223, 20,21194, 81
2026-08-26T12:41:28+08:00,99076648960,972670924,21223, 0,21194, 24
2026-08-26T12:41:33+08:00,96810696704,975053896,21208, 67,9944, 4
2026-08-26T12:41:38+08:00,92492042240,979234836,21223, 34,9992, 0
2026-08-26T12:41:43+08:00,92490305536,979524360,21223, 0,9992, 0
2026-08-26T12:41:48+08:00,92837134336,979152284,21223, 65,10274, 2
2026-08-26T12:41:53+08:00,93543829504,978458504,21223, 0,13109, 61
2026-08-26T12:41:58+08:00,94318002176,977675508,21223, 100,13820, 0
2026-08-26T12:42:03+08:00,95085785088,976940916,21223, 38,14630, 0
2026-08-26T12:42:08+08:00,95904321536,976137240,21223, 91,15694, 6
2026-08-26T12:42:14+08:00,96574500864,975487580,21223, 69,16054, 1
2026-08-26T12:42:19+08:00,97033981952,975017580,21223, 0,17118, 0
2026-08-26T12:42:24+08:00,97959964672,974096512,21223, 0,18184, 0
2026-08-26T12:42:29+08:00,98321248256,973751664,21223, 0,18740, 17
2026-08-26T12:42:34+08:00,99001835520,973090708,21223, 0,19710, 2
2026-08-26T12:42:39+08:00,99003625472,973083792,21223, 35,21194, 84
2026-08-26T12:42:44+08:00,99003793408,973089640,21223, 0,21194, 26
2026-08-26T12:42:49+08:00,99002748928,973090152,21223, 10,21194, 89
2026-08-26T12:42:54+08:00,99003604992,973093852,21223, 56,21194, 59
2026-08-26T12:43:00+08:00,99011608576,973087332,21223, 0,21194, 0
2026-08-26T12:43:05+08:00,99001679872,973106504,21223, 45,21194, 100
2026-08-26T12:43:10+08:00,99004674048,973105524,21223, 6,21194, 0
2026-08-26T12:43:15+08:00,99003043840,973098940,21223, 100,21194, 65
2026-08-26T12:43:20+08:00,99000844288,973102872,21223, 63,21194, 100
2026-08-26T12:43:25+08:00,99003809792,973115056,21223, 0,21194, 100
2026-08-26T12:43:30+08:00,99002785792,973122348,21223, 0,21194, 0
2026-08-26T12:43:35+08:00,99004002304,973125084,21223, 7,21194, 0
2026-08-26T12:43:40+08:00,94624456704,977509960,10025, 0,21194, 0
2026-08-26T12:43:45+08:00,93656522752,978526848,10025, 0,21194, 74
2026-08-26T12:43:51+08:00,93654757376,978528824,10025, 0,21194, 23
2026-08-26T12:43:56+08:00,93654777856,978472296,10307, 0,21194, 5
2026-08-26T12:44:01+08:00,94139797504,977934896,13394, 0,21194, 32
2026-08-26T12:44:06+08:00,94685007872,977402372,14202, 5,21194, 92
2026-08-26T12:44:11+08:00,95201480704,976907404,15266, 80,21194, 0
2026-08-26T12:44:16+08:00,95953600512,976163728,15723, 1,21194, 99
2026-08-26T12:44:21+08:00,96653357056,975480564,16798, 0,21194, 24
2026-08-26T12:44:26+08:00,97427513344,974717784,17605, 2,21194, 0
2026-08-26T12:44:31+08:00,98152628224,974016108,18671, 6,21194, 15
2026-08-26T12:44:36+08:00,98602926080,973589272,19026, 0,21194, 0
2026-08-26T12:44:42+08:00,98993197056,973187000,21224, 0,21194, 0
2026-08-26T12:44:47+08:00,98992455680,973184308,21224, 0,21194, 0
2026-08-26T12:44:52+08:00,98992848896,973184356,21224, 52,21194, 73
2026-08-26T12:44:57+08:00,98990886912,973198292,21224, 84,21194, 100
2026-08-26T12:45:02+08:00,98991804416,973187796,21224, 65,21194, 89
2026-08-26T12:45:07+08:00,98995142656,973193712,21224, 69,21194, 0
2026-08-26T12:45:12+08:00,98993471488,973208652,21224, 0,21194, 100
2026-08-26T12:45:17+08:00,98991271936,973178804,21224, 29,21194, 29
2026-08-26T12:45:22+08:00,90818396160,981030616,21223, 0,9992, 0
